sql_stmt_seq,conflict_or_where_key,source_csv_row
143,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row144 PRD_000012→QTY_UNIT.01
144,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row145 PRD_000013→QTY_UNIT.01
145,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row146 PRD_000014→QTY_UNIT.01
146,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row147 PRD_000015→QTY_UNIT.01
147,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row148 PRD_000183→QTY_UNIT.01
148,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row149 PRD_000184→QTY_UNIT.01
149,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row150 PRD_000185→QTY_UNIT.01
150,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row151 PRD_000186→QTY_UNIT.01
151,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row152 PRD_000187→QTY_UNIT.01
152,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row153 PRD_000188→QTY_UNIT.01
153,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row154 PRD_000189→QTY_UNIT.01
154,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row155 PRD_000190→QTY_UNIT.01
155,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row156 PRD_000191→QTY_UNIT.01
156,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row157 PRD_000192→QTY_UNIT.01
157,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row158 PRD_000193→QTY_UNIT.01
158,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row159 PRD_000194→QTY_UNIT.01
159,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row160 PRD_000195→QTY_UNIT.01
160,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row161 PRD_000196→QTY_UNIT.01
161,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row162 PRD_000197→QTY_UNIT.01
162,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row163 PRD_000198→QTY_UNIT.01
163,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row164 PRD_000199→QTY_UNIT.01
164,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row165 PRD_000200→QTY_UNIT.01
165,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row166 PRD_000201→QTY_UNIT.01
166,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row167 PRD_000202→QTY_UNIT.01
167,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row168 PRD_000203→QTY_UNIT.01
168,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row169 PRD_000204→QTY_UNIT.01
169,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row170 PRD_000205→QTY_UNIT.01
170,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row171 PRD_000206→QTY_UNIT.01
171,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row172 PRD_000207→QTY_UNIT.01
172,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row173 PRD_000208→QTY_UNIT.01
173,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row174 PRD_000209→QTY_UNIT.01
174,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row175 PRD_000210→QTY_UNIT.01
175,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row176 PRD_000211→QTY_UNIT.01
176,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row177 PRD_000212→QTY_UNIT.01
177,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row178 PRD_000213→QTY_UNIT.01
178,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row179 PRD_000214→QTY_UNIT.01
179,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row180 PRD_000215→QTY_UNIT.01
180,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row181 PRD_000216→QTY_UNIT.01
181,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row182 PRD_000217→QTY_UNIT.01
182,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row183 PRD_000218→QTY_UNIT.01
183,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row184 PRD_000219→QTY_UNIT.01
184,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row185 PRD_000220→QTY_UNIT.01
185,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row186 PRD_000221→QTY_UNIT.01
186,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row187 PRD_000222→QTY_UNIT.01
187,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row188 PRD_000223→QTY_UNIT.01
188,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row189 PRD_000224→QTY_UNIT.01
189,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row190 PRD_000225→QTY_UNIT.01
190,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row191 PRD_000226→QTY_UNIT.01
191,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row192 PRD_000227→QTY_UNIT.01
192,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row193 PRD_000228→QTY_UNIT.01
193,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row194 PRD_000229→QTY_UNIT.01
194,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row195 PRD_000230→QTY_UNIT.01
195,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row196 PRD_000231→QTY_UNIT.01
196,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row197 PRD_000232→QTY_UNIT.01
197,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row198 PRD_000233→QTY_UNIT.01
198,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row199 PRD_000234→QTY_UNIT.01
199,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row200 PRD_000235→QTY_UNIT.01
200,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row201 PRD_000236→QTY_UNIT.01
201,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row202 PRD_000237→QTY_UNIT.01
202,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row203 PRD_000238→QTY_UNIT.01
203,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row204 PRD_000239→QTY_UNIT.01
204,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row205 PRD_000240→QTY_UNIT.01
205,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row206 PRD_000241→QTY_UNIT.01
206,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row207 PRD_000242→QTY_UNIT.01
207,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row208 PRD_000243→QTY_UNIT.01
208,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row209 PRD_000244→QTY_UNIT.01
209,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row210 PRD_000245→QTY_UNIT.01
210,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row211 PRD_000246→QTY_UNIT.01
211,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row212 PRD_000247→QTY_UNIT.01
212,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row213 PRD_000248→QTY_UNIT.01
213,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row214 PRD_000249→QTY_UNIT.01
214,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row215 PRD_000250→QTY_UNIT.01
215,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row216 PRD_000251→QTY_UNIT.01
216,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row217 PRD_000252→QTY_UNIT.01
217,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row218 PRD_000253→QTY_UNIT.01
218,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row219 PRD_000254→QTY_UNIT.01
219,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row220 PRD_000255→QTY_UNIT.01
220,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row221 PRD_000256→QTY_UNIT.01
221,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row222 PRD_000257→QTY_UNIT.01
222,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row223 PRD_000258→QTY_UNIT.01
223,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row224 PRD_000259→QTY_UNIT.01
224,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row225 PRD_000260→QTY_UNIT.01
225,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row226 PRD_000261→QTY_UNIT.01
226,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row227 PRD_000262→QTY_UNIT.01
227,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row228 PRD_000263→QTY_UNIT.01
228,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row229 PRD_000264→QTY_UNIT.01
229,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row230 PRD_000265→QTY_UNIT.01
