prd_cd,siz_cd,siz_nm,min_qty,max_qty,qty_incr,dflt_yn
PRD_000187,SIZ_000386,M(95x166mm),,,,Y
PRD_000187,SIZ_000388,L(120x218mm),,,,Y
PRD_000197,SIZ_000396,45x45cm,,,,Y
PRD_000198,SIZ_000399,100x70cm(1인용),,,,Y
PRD_000198,SIZ_000402,100x150cm(2인용),,,,Y
PRD_000202,SIZ_000406,2x2구,,,,Y
PRD_000215,SIZ_000413,A5용(164x230mm),,,,Y
PRD_000215,SIZ_000415,A4용(230x330mm),,,,Y
PRD_000217,SIZ_000419,원형13x13,,,,Y
PRD_000217,SIZ_000420,원형19x19,,,,Y
PRD_000217,SIZ_000421,원형24x24,,,,Y
PRD_000217,SIZ_000422,원형35x35,,,,Y
PRD_000217,SIZ_000423,사각30x30,,,,Y
PRD_000217,SIZ_000424,사각67x32,,,,Y
PRD_000217,SIZ_000425,사각78x28,,,,Y
PRD_000218,SIZ_000426,A5 (148x210),,,,Y
PRD_000230,SIZ_000433,220x300,,,,Y
PRD_000230,SIZ_000434,260x340,,,,N
PRD_000231,SIZ_000435,220x294,,,,Y
PRD_000231,SIZ_000436,260x374,,,,N
PRD_000232,SIZ_000437,440x160,,,,Y
PRD_000232,SIZ_000438,520x200,,,,N
PRD_000241,SIZ_000448,70x100,,,,Y
PRD_000242,SIZ_000246,100x70,,,,Y
PRD_000242,SIZ_000449,100x40,,,,Y
PRD_000280,SIZ_000492,레더15x30,,,,Y
PRD_000280,SIZ_000494,레더20x40,,,,Y
PRD_000280,SIZ_000496,레더30x50,,,,Y
PRD_000281,SIZ_000500,165x115,,,,N
PRD_000282,SIZ_000500,165x115,,,,N
PRD_000283,SIZ_000083,100x100mm,,,,N
