comp_price_id,comp_cd,apply_ymd,siz_cd,mat_cd,clr_cd,proc_cd,opt_cd,print_opt_cd,plt_siz_cd,coat_side_cnt,bdl_qty,min_qty,siz_width,siz_height,unit_price,dim_vals
22359,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,100.00,5300.00,
22360,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,120.00,5900.00,
22361,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,140.00,6500.00,
22362,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,160.00,7100.00,
22363,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,180.00,7700.00,
22364,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,200.00,8300.00,
22365,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,70.00,5100.00,
22366,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,90.00,5900.00,
22367,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,120.00,7400.00,
22368,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,140.00,8400.00,
22369,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,160.00,9400.00,
22370,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,180.00,10400.00,
22371,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,200.00,11400.00,
22372,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,60.00,5300.00,
22373,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,140.00,9400.00,
