category,cell,col,row,type,raw,norm,sheet_grade,sheet_match,live_grade,live_prd_cd,live_opt_n,live_priced,status,reason
11 에코백,K18,K,18,product,린넨 스트링 파우치,린넨스트링파우치,exact,굿즈파우치:린넨 스트링 파우치,exact,PRD_000243,0,N,🟡신규출시,라이브 존재(PRD_000243)·결손:옵션0/가격사슬X
12 포장,L18,L,18,alias,→반칼띠지스티커,반칼띠지스티커,exact,반칼띠지스티커,exact,PRD_000061,,,◆교차참조,별칭(→) — 본체 타 카테고리
01 엽서,A19,A,19,product,엽서북,엽서북,exact,책자:엽서북,exact,PRD_000094,13,Y,✅정상등록가능,라이브 opt=13·price사슬=Y
03 인쇄홍보물,C19,C,19,section,▶︎쿠폰/상품권,쿠폰상품권,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
04 포스터,D19,D,19,section,▶︎보드액자,보드액자,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
07 캘린더,G19,G,19,product,벽걸이캘린더,벽걸이캘린더,exact,캘린더:벽걸이캘린더,exact,PRD_000111,0,N,🟡신규출시,라이브 존재(PRD_000111)·결손:옵션0/가격사슬X
08 문구,H19,H,19,product,클립보드,클립보드,exact,굿즈파우치:클립보드,exact,PRD_000215,0,N,🟡신규출시,라이브 존재(PRD_000215)·결손:옵션0/가격사슬X
09 아크릴,I19,I,19,section,▶︎조합형,조합형,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
10 라이프,J19,J,19,product,극세사클리너,극세사클리너,exact,굿즈파우치:극세사클리너,exact,PRD_000212,0,N,🟡신규출시,라이브 존재(PRD_000212)·결손:옵션0/가격사슬X
02 스티커,B20,B,20,section,▶︎특수스티커,특수스티커,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
03 인쇄홍보물,C20,C,20,product,스탠다드 쿠폰/상품권,스탠다드쿠폰상품권,exact,디지털인쇄:스탠다드 쿠폰/상품권,exact,PRD_000041,10,Y,✅정상등록가능,라이브 opt=10·price사슬=Y
04 포스터,D20,D,20,product,폼보드,폼보드,exact,실사:폼보드,exact,PRD_000129,0,Y,🟡신규출시,라이브 존재(PRD_000129)·결손:옵션0
08 문구,H20,H,20,product,투명클립보드,투명클립보드,exact,굿즈파우치:투명클립보드,exact,PRD_000216,0,N,🟡신규출시,라이브 존재(PRD_000216)·결손:옵션0/가격사슬X
09 아크릴,I20,I,20,product,아크릴자유형스탠드,아크릴자유형스탠드,exact,아크릴:아크릴자유형스탠드,exact,PRD_000160,0,N,🟡신규출시,라이브 존재(PRD_000160)·결손:옵션0/가격사슬X
10 라이프,J20,J,20,product,극세사타월,극세사타월,exact,굿즈파우치:극세사타월,exact,PRD_000207,0,N,🟡신규출시,라이브 존재(PRD_000207)·결손:옵션0/가격사슬X
11 에코백,K20,K,20,section,▶︎타이벡파우치,타이벡파우치,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
12 포장,L20,L,20,section,▶︎포장부자재,포장부자재,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
01 엽서,A21,A,21,section,▶︎포토카드,포토카드,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
02 스티커,B21,B,21,product,타투스티커,타투스티커,exact,스티커:타투스티커,exact,PRD_000067,0,Y,🟡신규출시,라이브 존재(PRD_000067)·결손:옵션0
03 인쇄홍보물,C21,C,21,product,프리미엄 상품권/쿠폰,프리미엄상품권쿠폰,alias,디지털인쇄:프리미엄 쿠폰/상품권,alias,PRD_000042,22,Y,✅정상등록가능,D-4 명명변형(어순) 재분류: 라이브 PRD_000042 opt22/priced=Y
04 포스터,D21,D,21,product,포맥스보드,포맥스보드,exact,실사:포맥스보드,exact,PRD_000130,0,Y,🟡신규출시,라이브 존재(PRD_000130)·결손:옵션0
09 아크릴,I21,I,21,product,판아크릴,판아크릴,exact,아크릴:판아크릴,exact,PRD_000161,0,N,🟡신규출시,라이브 존재(PRD_000161)·결손:옵션0/가격사슬X
10 라이프,J21,J,21,product,벨벳쿠션,벨벳쿠션,exact,굿즈파우치:벨벳쿠션,exact,PRD_000195,0,N,🟡신규출시,라이브 존재(PRD_000195)·결손:옵션0/가격사슬X
11 에코백,K21,K,21,product,타이벡 플랫 파우치,타이벡플랫파우치,exact,굿즈파우치:타이벡 플랫 파우치,exact,PRD_000244,0,N,🟡신규출시,라이브 존재(PRD_000244)·결손:옵션0/가격사슬X
12 포장,L21,L,21,product,자석고정용고무판,자석고정용고무판,exact,상품악세사리:자석고정용고무판,exact,PRD_000011,0,N,🟡신규출시,라이브 존재(PRD_000011)·결손:옵션0/가격사슬X
01 엽서,A22,A,22,product,포토카드,포토카드,exact,디지털인쇄:포토카드,exact,PRD_000024,7,Y,✅정상등록가능,라이브 opt=7·price사슬=Y
04 포스터,D22,D,22,product,프레임리스액자,프레임리스액자,alias,실사:프레임리스우드액자,alias,PRD_000131,0,Y,🟡신규출시,D-4 명명변형(우드삽입) 재분류: 라이브 PRD_000131 opt0/priced=Y
08 문구,H22,H,22,section,▶︎데스크소품,데스크소품,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
09 아크릴,I22,I,22,product,아크릴포카스탠드,아크릴포카스탠드,exact,아크릴:아크릴포카스탠드,exact,PRD_000162,0,N,🟡신규출시,라이브 존재(PRD_000162)·결손:옵션0/가격사슬X
10 라이프,J22,J,22,alias,→아크릴마그넷,아크릴마그넷,exact,아크릴마그넷,exact,PRD_000147,,,◆교차참조,별칭(→) — 본체 타 카테고리
11 에코백,K22,K,22,product,타이벡 슬림 파우치,타이벡슬림파우치,exact,굿즈파우치:타이벡 슬림 파우치,exact,PRD_000245,0,N,🟡신규출시,라이브 존재(PRD_000245)·결손:옵션0/가격사슬X
