prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000071,MAT_000081,USAGE.02,,N,9,,,"IMPORT:트윈링표지 :: 코팅/오시● 아트지 250g→MAT_000081 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000082,USAGE.02,,N,10,,,"IMPORT:트윈링표지 :: 코팅/오시● 아트지 300g→MAT_000082 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000086,USAGE.02,,N,11,,,"IMPORT:트윈링표지 :: 코팅/오시● 스노우지 100g→MAT_000086 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000087,USAGE.02,,N,12,,,"IMPORT:트윈링표지 :: 코팅/오시● 스노우지 120g→MAT_000087 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000088,USAGE.02,,N,13,,,"IMPORT:트윈링표지 :: 코팅/오시● 스노우지 150g→MAT_000088 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000089,USAGE.02,,N,14,,,"IMPORT:트윈링표지 :: 코팅/오시● 스노우지 180g→MAT_000089 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000090,USAGE.02,,N,15,,,"IMPORT:트윈링표지 :: 코팅/오시● 스노우지 200g→MAT_000090 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000091,USAGE.02,,N,16,,,"IMPORT:트윈링표지 :: 코팅/오시● 스노우지 250g→MAT_000091 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000092,USAGE.02,,N,17,,,"IMPORT:트윈링표지 :: 코팅/오시● 스노우지 300g→MAT_000092 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000095,USAGE.02,,N,18,,,"IMPORT:트윈링표지 :: 코팅/오시● 앙상블 100g→MAT_000095 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000096,USAGE.02,,N,19,,,"IMPORT:트윈링표지 :: 코팅/오시● 앙상블 130g→MAT_000096 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000097,USAGE.02,,N,20,,,"IMPORT:트윈링표지 :: 코팅/오시● 앙상블 160g→MAT_000097 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000098,USAGE.02,,N,21,,,"IMPORT:트윈링표지 :: 코팅/오시● 앙상블 190g→MAT_000098 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000099,USAGE.02,,N,22,,,"IMPORT:트윈링표지 :: 코팅/오시● 앙상블 210g→MAT_000099 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000104,USAGE.02,,N,23,,,"IMPORT:트윈링표지 :: 코팅/오시● 몽블랑 100g→MAT_000104 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000105,USAGE.02,,N,24,,,"IMPORT:트윈링표지 :: 코팅/오시● 몽블랑 130g→MAT_000105 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000106,USAGE.02,,N,25,,,"IMPORT:트윈링표지 :: 코팅/오시● 몽블랑 160g→MAT_000106 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000107,USAGE.02,,N,26,,,"IMPORT:트윈링표지 :: 코팅/오시● 몽블랑 190g→MAT_000107 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000108,USAGE.02,,N,27,,,"IMPORT:트윈링표지 :: 코팅/오시● 몽블랑 210g→MAT_000108 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000109,USAGE.02,,N,28,,,"IMPORT:트윈링표지 :: 코팅/오시● 몽블랑 240g→MAT_000109 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
