sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
MAP,cell,9,C9,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,D9,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,E9,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,F9,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,G9,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,H9,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,I9,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,J9,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,K9,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,L9,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,M9,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,N9,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,O9,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,P9,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,Q9,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,R9,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,S9,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,T9,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,U9,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,V9,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,W9,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,X9,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,Y9,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,Z9,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,A10,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,B10,02 스티커,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,C10,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,D10,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,E10,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,F10,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,G10,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,H10,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,I10,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,J10,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,K10,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,L10,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,M10,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,N10,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,O10,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,P10,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,Q10,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,R10,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,S10,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,T10,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,U10,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,V10,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,W10,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,X10,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,Y10,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,10,Z10,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,A11,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,B11,02 스티커,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,C11,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,D11,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,E11,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,F11,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,G11,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,H11,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,I11,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,J11,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,K11,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,L11,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,M11,M,,,Values must be of type <class 'str'>,,,,,,,,
