sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
문구(가격포함),cell,8,R8,페이지사양_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,S8,표지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,T8,표지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,V8,표지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,W8,표지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,Y8,표지사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,Z8,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AA8,제본옵션(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AB8,제본사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AC8,가격,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AD8,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AE8,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AF8,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AG8,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AH8,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AI8,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AJ8,구간할인적용테이블,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,AK8,COMMENT,,,FFFF9900,,,,,,,,
문구(가격포함),cell,10,A10,구분,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,B10,ID,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,C10,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,D10,상품명,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,E10,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,I10,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,J10,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,K10,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,L10,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,M10,내지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,N10,종이(옵션),,,FFCCCCCC,,,,,,,,
문구(가격포함),cell,10,O10,내지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,P10,페이지사양_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,Q10,페이지사양_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,R10,페이지사양_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,S10,표지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,T10,표지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,V10,표지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,W10,표지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,Y10,표지사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,Z10,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AA10,제본옵션(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AB10,제본사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AC10,가격,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AD10,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AE10,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AF10,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AG10,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AH10,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AI10,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AJ10,구간할인적용테이블,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,10,AK10,COMMENT,,,FFFF9900,,,,,,,,
문구(가격포함),cell,11,A11,구분,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,B11,ID,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,C11,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,D11,상품명,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,E11,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,I11,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,J11,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,K11,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,L11,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,M11,내지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,N11,종이(옵션),,,FFCCCCCC,,,,,,,,
문구(가격포함),cell,11,O11,내지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,P11,페이지사양_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,Q11,페이지사양_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,R11,페이지사양_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,S11,표지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,T11,표지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,V11,표지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,W11,표지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,Y11,표지사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,Z11,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AA11,제본옵션(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AB11,제본사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AC11,가격,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AD11,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AE11,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AF11,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AG11,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AH11,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AI11,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,11,AJ11,구간할인적용테이블,,,FFFF9900,,,,,,,,
