prd_cd,prd_nm,current_plate_siz,current_paper_typ,cur_impos,cur_cut_null,cur_work,target_siz,target_paper_typ,row_action
PRD_000032,코팅명함,SIZ_000144,OUTPUT_PAPER_TYPE.03,N,t,92.00x52.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000032,코팅명함,SIZ_000146,OUTPUT_PAPER_TYPE.03,N,t,88.00x54.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000033,스탠다드명함,SIZ_000144,OUTPUT_PAPER_TYPE.03,N,t,92.00x52.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000033,스탠다드명함,SIZ_000146,OUTPUT_PAPER_TYPE.03,N,t,88.00x54.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000034,펄명함,SIZ_000144,OUTPUT_PAPER_TYPE.03,N,t,92.00x52.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000035,모양명함,SIZ_000147,OUTPUT_PAPER_TYPE.03,N,f,100.00x60.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000036,미니모양명함,SIZ_000148,OUTPUT_PAPER_TYPE.03,N,f,60.00x60.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000037,오리지널박명함,SIZ_000008,,Y,f,92.00x52.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000038,형압명함,SIZ_000144,OUTPUT_PAPER_TYPE.03,N,t,92.00x52.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000039,투명명함,SIZ_000144,OUTPUT_PAPER_TYPE.03,N,t,92.00x52.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000040,화이트인쇄명함,SIZ_000144,OUTPUT_PAPER_TYPE.03,N,t,92.00x52.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000149,OUTPUT_PAPER_TYPE.03,N,t,152.00x72.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000150,OUTPUT_PAPER_TYPE.03,N,t,152.00x79.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000149,OUTPUT_PAPER_TYPE.03,N,t,152.00x72.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000150,OUTPUT_PAPER_TYPE.03,N,t,152.00x79.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000002,OUTPUT_PAPER_TYPE.03,Y,f,100.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000151,OUTPUT_PAPER_TYPE.03,N,t,80.00x104.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000152,,N,t,86.00x110.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000153,OUTPUT_PAPER_TYPE.03,N,t,80.00x124.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000154,,N,t,86.00x130.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000155,OUTPUT_PAPER_TYPE.03,N,t,90.00x124.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000156,,N,t,96.00x130.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000157,,N,t,104.00x104.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000158,OUTPUT_PAPER_TYPE.03,N,t,66.00x184.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000159,,N,t,72.00x190.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000160,OUTPUT_PAPER_TYPE.03,N,t,115.00x170.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000161,OUTPUT_PAPER_TYPE.03,N,t,78.00x78.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000162,,N,t,78.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000163,,N,t,78.00x113.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000164,,N,t,78.00x222.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000045,인쇄헤더택,SIZ_000165,OUTPUT_PAPER_TYPE.03,N,t,84.00x84.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000045,인쇄헤더택,SIZ_000166,,N,t,114.00x84.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000045,인쇄헤더택,SIZ_000167,,N,t,144.00x84.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000045,인쇄헤더택,SIZ_000168,,N,t,164.00x84.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000046,라벨/택,SIZ_000132,OUTPUT_PAPER_TYPE.03,N,t,50.00x90.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000046,라벨/택,SIZ_000148,OUTPUT_PAPER_TYPE.03,N,f,60.00x60.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000046,라벨/택,SIZ_000169,OUTPUT_PAPER_TYPE.03,N,t,35.00x120.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000062,반칼팬시스티커,SIZ_000200,OUTPUT_PAPER_TYPE.03,N,t,104.00x144.00,UNRESOLVED,OUTPUT_PAPER_TYPE.03,BLOCKED_unresolved_jeonji
PRD_000062,반칼팬시스티커,SIZ_000201,,N,t,128.00x190.00,UNRESOLVED,,BLOCKED_unresolved_jeonji
PRD_000062,반칼팬시스티커,SIZ_000202,,N,t,94.00x194.00,UNRESOLVED,,BLOCKED_unresolved_jeonji
PRD_000063,반칼팬시투명스티커,SIZ_000200,OUTPUT_PAPER_TYPE.03,N,t,104.00x144.00,UNRESOLVED,OUTPUT_PAPER_TYPE.03,BLOCKED_unresolved_jeonji
PRD_000063,반칼팬시투명스티커,SIZ_000201,,N,t,128.00x190.00,UNRESOLVED,,BLOCKED_unresolved_jeonji
PRD_000063,반칼팬시투명스티커,SIZ_000202,,N,t,94.00x194.00,UNRESOLVED,,BLOCKED_unresolved_jeonji
PRD_000064,소량자유형스티커,SIZ_000036,,Y,f,98.00x98.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000064,소량자유형스티커,SIZ_000043,,Y,f,84.00x84.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000064,소량자유형스티커,SIZ_000061,OUTPUT_PAPER_TYPE.03,Y,f,50.00x70.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000064,소량자유형스티커,SIZ_000062,,Y,f,70.00x50.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000064,소량자유형스티커,SIZ_000063,,Y,f,50.00x94.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000064,소량자유형스티커,SIZ_000064,,Y,f,94.00x50.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000064,소량자유형스티커,SIZ_000065,,Y,f,65.00x65.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000065,스티커팩,SIZ_000068,OUTPUT_PAPER_TYPE.03,Y,f,75.00x110.00,UNRESOLVED,OUTPUT_PAPER_TYPE.03,BLOCKED_unresolved_jeonji
PRD_000067,타투스티커,SIZ_000060,OUTPUT_PAPER_TYPE.03,Y,f,94.00x194.00,UNRESOLVED,OUTPUT_PAPER_TYPE.03,BLOCKED_unresolved_jeonji
PRD_000094,엽서북,SIZ_000114,,N,t,102.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000094,엽서북,SIZ_000115,,N,t,137.00x137.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000094,엽서북,SIZ_000262,,N,t,218.00x160.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000094,엽서북,SIZ_000263,,N,t,152.00x102.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000094,엽서북,SIZ_000264,,N,t,318.00x110.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000094,엽서북,SIZ_000265,,N,t,288.00x145.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000108,탁상형캘린더,SIZ_000282,OUTPUT_PAPER_TYPE.03,N,t,224.00x149.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000108,탁상형캘린더,SIZ_000283,OUTPUT_PAPER_TYPE.03,N,t,134.00x224.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000109,미니탁상형캘린더,SIZ_000284,OUTPUT_PAPER_TYPE.03,N,t,94.00x104.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000109,미니탁상형캘린더,SIZ_000285,OUTPUT_PAPER_TYPE.03,N,t,152.00x64.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000110,엽서캘린더,SIZ_000171,OUTPUT_PAPER_TYPE.03,N,t,152.00x214.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000110,엽서캘린더,SIZ_000282,OUTPUT_PAPER_TYPE.03,N,t,224.00x149.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
