prd_cd,prd_nm,siz_cd,work_size,press_sheet,output_paper_typ_cd,prd_typ,repro,is_jeonji_siz
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000161,78x78,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000045,인쇄헤더택,SIZ_000165,84x84,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000045,인쇄헤더택,SIZ_000166,114x84,316x467,,PRD_TYPE.04,Y,N
PRD_000045,인쇄헤더택,SIZ_000167,144x84,316x467,,PRD_TYPE.04,Y,N
PRD_000045,인쇄헤더택,SIZ_000168,164x84,316x467,,PRD_TYPE.04,Y,N
PRD_000046,라벨/택,SIZ_000169,35x120,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000046,라벨/택,SIZ_000132,50x90,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000046,라벨/택,SIZ_000148,60x60,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000047,소량전단지,SIZ_000171,152x214,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000047,소량전단지,SIZ_000173,216x303,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000047,소량전단지,SIZ_000175,303x426,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000047,소량전단지,SIZ_000177,306x446,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000048,접지리플렛,SIZ_000178,214x152,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000048,접지리플렛,SIZ_000180,302x216,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000048,접지리플렛,SIZ_000179,303x216,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
