comp_cd,apply_ymd,from_siz_cd,to_siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,old_comp_price_id
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",450,110.00,1043
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",4500,61.00,1107
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",5,1200.00,943
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",50,340.00,995
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",500,95.00,1047
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",5000,61.00,1111
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",6,900.00,947
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",60,270.00,999
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",600,95.00,1051
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",6000,54.00,1115
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",7,800.00,951
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",70,270.00,1003
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",700,95.00,1055
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",7000,54.00,1119
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",8,700.00,955
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",80,270.00,1007
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",800,95.00,1059
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",8000,54.00,1123
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",9,600.00,959
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",90,270.00,1011
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",900,95.00,1063
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",9000,54.00,1127
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",1,4500.00,929
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",10,1000.00,965
