prd_cd,상품명,상품군,등급,축,근거
PRD_000185,카드거울,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000185,카드거울,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000240,캔버스 삼각 파우치,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000240,캔버스 삼각 파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000262,캔버스 삼각 필통,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000271,캔버스숄더백,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000271,캔버스숄더백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000241,캔버스 스트랩 라벨파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000268,캔버스심플백,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000268,캔버스심플백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000270,캔버스에코백,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000270,캔버스에코백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000125,캔버스패브릭포스터,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000272,캔버스 포켓숄더백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000269,캔버스 포켓심플백,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000269,캔버스 포켓심플백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000239,캔버스 플랫 파우치,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000239,캔버스 플랫 파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000261,캔버스 플랫 필통,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000133,캔버스 행잉포스터,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000184,컴팩트거울,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000184,컴팩트거울,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000189,코르크코스터,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000189,코르크코스터,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000215,클립보드,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000215,클립보드,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000202,키캡키링,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000275,타이벡 보냉 미니백,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000275,타이벡 보냉 미니백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000274,타이벡보냉보틀백,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000274,타이벡보냉보틀백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000277,타이벡 보냉에코백,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000277,타이벡 보냉에코백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000218,타이벡북커버,굿즈파우치,L1(기성),자재,축 needed=Y이나 라이브 미적재
PRD_000218,타이벡북커버,굿즈파우치,L1(기성),도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000246,타이벡 삼각 파우치,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000246,타이벡 삼각 파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000247,타이벡 스트링 파우치,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000247,타이벡 스트링 파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000245,타이벡 슬림 파우치,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000245,타이벡 슬림 파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
