comp_cd,apply_ymd,siz_cd,mat_cd,min_qty,unit_price,note,src_col,src_row
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,300,4900.00,권위 스티커 r37 c14 · 묶음 유포/비코팅/미색,c14,37
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,350,4700.00,권위 스티커 r38 c14 · 묶음 유포/비코팅/미색,c14,38
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,400,4500.00,권위 스티커 r39 c14 · 묶음 유포/비코팅/미색,c14,39
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,450,4500.00,권위 스티커 r40 c14 · 묶음 유포/비코팅/미색,c14,40
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,500,4500.00,권위 스티커 r41 c14 · 묶음 유포/비코팅/미색,c14,41
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,100000,4500.00,권위 스티커 r42 c14 · 묶음 유포/비코팅/미색,c14,42
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,1,6700.00,권위 스티커 r7 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,7
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,2,6700.00,권위 스티커 r8 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,8
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,3,6500.00,권위 스티커 r9 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,9
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,4,6500.00,권위 스티커 r10 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,10
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,5,6400.00,권위 스티커 r11 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,11
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,6,6300.00,권위 스티커 r12 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,12
