source,sheet,product_or_context,display_name,raw_dims,unit,semantic_axis_guess
master,디지털인쇄,프리미엄 쿠폰/상품권,148 x 68 mm,"{""work"": ""152 x 72"", ""cut"": ""148 x 68""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,148 x 75 mm,"{""work"": ""152 x 79"", ""cut"": ""148 x 75""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,인쇄배경지(OPP봉투타입),76 x 100 mm,"{""work"": ""80x104"", ""cut"": ""76 x 100""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,76 x 120 mm,"{""work"": ""80 x 124"", ""cut"": ""76 x 120""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,86 x 120 mm,"{""work"": ""90 x 124"", ""cut"": ""86 x 120""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,94 x 94 mm,"{""work"": ""98 x 98"", ""cut"": ""94 x 94""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,62 x 180 mm,"{""work"": ""66 x 184"", ""cut"": ""62 x 180""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,105 x 160 mm,"{""work"": ""115 x 170"", ""cut"": ""105 x 160""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,인쇄배경지(투명케이스타입),74 x 74 mm,"{""work"": ""78 x 78"", ""cut"": ""74 x 74""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,74 x 109 mm,"{""work"": ""78 x 113"", ""cut"": ""74 x 109""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,인쇄헤더택,80 x 80mm,"{""work"": ""84 x 84"", ""cut"": ""80 x 80""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,110 x 80mm,"{""work"": ""114 x 84"", ""cut"": ""110 x 80""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,140 x 80mm,"{""work"": ""144 x 84"", ""cut"": ""140 x 80""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,160 x 80mm,"{""work"": ""164 x 84"", ""cut"": ""160 x 80""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,라벨/택,40 x 80 mm,"{""work"": ""50 x 90"", ""cut"": ""40 x 80""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,50 x 50 mm,"{""work"": ""60 x 60"", ""cut"": ""50 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,25 x 110 mm,"{""work"": ""35 x 120"", ""cut"": ""25 x 110""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,소량전단지,A5 (148 x 210mm),"{""work"": ""152 x 214"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A4 (210 x 297mm),"{""work"": ""216 x 303"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A3 (297 x 420mm),"{""work"": ""303 x 426"", ""cut"": ""297 x 420""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A3+ (300 x 440mm),"{""work"": ""306 x 446"", ""cut"": ""300 x 440""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,접지리플렛,A5 (반접지),"{""work"": ""214 x 152"", ""cut"": ""210 x 148""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A4 (반접지),"{""work"": ""303 x 216"", ""cut"": ""297 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A4 (3단접지),"{""work"": ""303 x 216"", ""cut"": ""297 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A4 (4단병풍접지),"{""work"": ""302 x 216"", ""cut"": ""297 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A3 (반접지),"{""work"": ""426 x 303"", ""cut"": ""420 x 297""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A3 (3단접지),"{""work"": ""425 x 303"", ""cut"": ""419 x 297""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A3 (4단병풍접지),"{""work"": ""426 x 303"", ""cut"": ""420 x 297""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,A3 (4단대문접지),"{""work"": ""424 x 303"", ""cut"": ""418 x 297""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,와이드 접지리플렛,3절 (3단접지),"{""work"": ""635 x 303"", ""cut"": ""629 x 297""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,3절 (4단대문접지),"{""work"": ""644 x 303"", ""cut"": ""638 x 297""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,3절 (4단병풍접지),"{""work"": ""646 x 303"", ""cut"": ""640 x 297""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,봉투제작,티켓봉투,"{""work"": ""225 x 193""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,소봉투,"{""work"": ""238 x 262""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,자켓봉투,"{""work"": ""262 x 238""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,대봉투,"{""work"": ""510 x 387""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,썬캡,313 x 400 mm,"{""work"": ""313 x 400""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼 자유형 스티커,A6 (105 x 148 mm),"{""work"": ""105 x 148"", ""cut"": ""105 x 148""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A5 (148 x 210 mm),"{""work"": ""148 x 210"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼 자유형 투명스티커,A6 (105 x 148 mm),"{""work"": ""105 x 148"", ""cut"": ""105 x 148""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A5 (148 x 210 mm),"{""work"": ""148 x 210"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼 자유형 홀로그램스티커,A6 (105 x 148 mm),"{""work"": ""105 x 148"", ""cut"": ""105 x 148""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A5 (148 x 210 mm),"{""work"": ""148 x 210"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
