comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,proc_cd,opt_cd,dim_vals,print_opt_cd,plt_siz_cd,siz_width,siz_height
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,4000,50.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 4000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,4500,45.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 4500장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,5000,45.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 5000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,6000,40.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 6000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,7000,40.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 7000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,8000,40.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 8000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,9000,40.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 9000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,10000,40.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 10000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1000000,40.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 1000000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1,4500.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 1장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,2,2800.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 2장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,3,2500.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 3장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
