product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),조각수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,AG,AH,AI,AJ,AK
14545,반칼팬시스티커,,6,115,,,,반칼팬시투명스티커,100 x 140 mm,,2,104 x 144,100 x 140,330x470,반칼(규격),PDF,디지털인쇄,Y,Y,투명스티커,단면,화이트인쇄(없음),,,,,,원형 32mm,,8,10000,8,,,,,,,,,
14545,반칼팬시스티커,,7,116,,,,,124 x186 mm,,2,128 x 190,124 x 186,,,,,,,,,화이트인쇄(단면),,,,,,정사각 32mm,,4,10000,4,,,,,,,,,
14545,반칼팬시스티커,,8,117,,,,,90 x 190 mm,,2,94 x 194,90 x 190,,,,,,,,,,,,,,,하트 36mm,,6,10000,6,,,,,,,,,
14545,반칼팬시스티커,,9,118,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : 124x186선택시,,,,,,,,,,,,,
14545,반칼팬시스티커,,10,120,,,002-0006,소량자유형스티커,50 x 70 mm,,0,50 x 70,50 x 70,330x470,싱글(자유형),PDF,디지털인쇄,Y,Y,유포스티커,단면,,,,,,,반칼(자유형),*1조각,32,1000,32,,,,,,,,,
14545,반칼팬시스티커,,11,121,,,,,70 x 50 mm,,0,70 x 50,70 x 50,,,,,,,비코팅스티커,,,,,,,,,,32,1000,32,,,,,,,,,
14545,반칼팬시스티커,,12,122,,,,,50 x 94 mm,,0,50 x 94,50 x 94,,,,,,,미색스티커,,,,,,,,,,24,1000,24,,,,,,,,,
14545,반칼팬시스티커,,13,123,,,,,94 x 50 mm,,0,94 x 50,94 x 50,,,,,,,무광코팅스티커,,,,,,,,,,24,1000,24,,,,,,,,,
14545,반칼팬시스티커,,14,124,,,,,65 x 65 mm,,0,65 x 65,65 x 65,,,,,,,유광코팅스티커,,,,,,,,,,24,1000,24,,,,,,,,,
14545,반칼팬시스티커,,15,125,,,,,80 x 80 mm,,0,80 x 80,80 x 80,,,,,,,,,,,,,,,,,15,1000,15,,,,,,,,,
14545,반칼팬시스티커,,16,126,,,,,94 x 94 mm,,0,94 x 94,94 x 94,,,,,,,,,,,,,,,,,12,1000,12,,,,,,,,,
14545,반칼팬시스티커,,17,128,,,002-0016,스티커팩,75 x 110 mm,,0,75 x 110,75 x 110,330x470,스티커팩,PDF,디지털인쇄,,Y,비코팅스티커,단면,,,,,,,,,1,1000,1,,,,,,,,,
14545,반칼팬시스티커,,18,129,,,,,,,,,,,,,,,,미색스티커,,,,,,,,,,,,,,,,,,,,,
