product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),비규격(최소/최대)_가로,비규격(최소/최대)_세로,가격,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,소재(필수),인쇄사양,조각수(옵션),가공(옵션)_가공,가공(옵션)_가격,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,COMMENT,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL
14634,판아크릴,,1,98,,,,,120 x 180 mm,,,,,124 x 184,120 x 180,,,*AI(칼선),,,,,,,,,,,,,,,,,,,,,,,,
14634,판아크릴,,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14635,아크릴포카스탠드,,0,100,,14635,009-0014,아크릴포카스탠드,68 x 103 mm,,,,,,,,포카스탠드,PDF,UV인쇄,Y,,투명아크릴 3mm,배면양면,,,,,,1,10000,1,,,,,,,,,,,
14635,아크릴포카스탠드,,1,101,,,,,,,,,,,,,,*AI(칼선),,,,,,,,,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,0,103,,14636,009-0015,아크릴미니파츠,120 x 50 mm,,,,,120 x 50,120 x 50,,미니파츠,PDF,UV인쇄,Y,,투명아크릴 1.5mm,배면양면,10조각,,0,,,1,10000,1,,,,,,,,,,,
14636,아크릴미니파츠,,1,104,,,,,,,,,,,,,,*AI(칼선),,,,,,,,,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,2,106,,,,아크릴코롯토,30 x 30 mm,,,,,,,,코롯토,PDF,루아샵,Y,,투명아크릴 8mm,배면양면,,,,,,1,10000,1,,,,,,,,,,,
14636,아크릴미니파츠,,3,107,,,,,40 x 40 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,4,108,,,,,50 x 50 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,5,109,,,,,60 x 60 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,6,110,,,,,70 x 70 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,7,111,,,,,80 x 80 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,8,112,,,,,사용자입력,30~80,30~80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,9,114,,,,포카코롯토,55 x 86mm,,,,,,,,코롯토,PDF,루아샵,Y,,투명아크릴 8mm,배면양면,,,,,,1,10000,1,,,,,,,,,,,
14636,아크릴미니파츠,,10,117,,,,아크릴카라비너,40 x 69 mm 자물쇠,,,,,,,,카라비너,PDF,루아샵,Y,Y,투명아크릴 3mm+3mm 접합,배면양면,,실버고리,0,,,1,10000,1,,,,,,,,,,,
14636,아크릴미니파츠,,11,118,,,,,43 x 71 mm 하트자물쇠,,,,,,,,,,,,,,,,골드고리,0,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,12,119,,,,,59 x 54 mm 하트,,,,,,,,,,,,,,,,화이트고리,0,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,13,120,,,,,68 x 70 mm 원형,,,,,,,,,,,,,,,,블랙고리,0,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,14,121,,,,,,,,,,,,,,,,,,,,,레드고리,0,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,15,122,,,,,,,,,,,,,,,,,,,,,하늘고리,0,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,16,123,,,,,,,,,,,,,,,,,,,,,핑크고리,0,,,,,,,,,,,,,,,,
14636,아크릴미니파츠,,17,131,,,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
