sheet,prd_nm,qty_min,qty_max,qty_inc
굿즈파우치(가격포함),타이벡 에코백,1.0,10000.0,1.0
굿즈파우치(가격포함),타이벡 보냉에코백,1.0,10000.0,1.0
굿즈파우치(가격포함),메쉬 토트백,1.0,10000.0,1.0
굿즈파우치(가격포함),메쉬 에코백,1.0,10000.0,1.0
굿즈파우치(가격포함),레더라벨제작,10.0 | 10.0 | 10.0,10000.0 | 10000.0 | 10000.0,10.0 | 10.0 | 10.0
굿즈파우치(가격포함),슬림하드 폰케이스,,,
굿즈파우치(가격포함),블랙젤리,,,
굿즈파우치(가격포함),임팩트 젤하드,,,
굿즈파우치(가격포함),에어팟케이스★,,,
굿즈파우치(가격포함),버즈케이스★,,,
상품악세사리(가격포함),OPP접착봉투,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
상품악세사리(가격포함),OPP비접착봉투,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
상품악세사리(가격포함),트래싱지 카드봉투,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
상품악세사리(가격포함),카드봉투,1.0 | 1.0,100.0 | 100.0,1.0 | 1.0
상품악세사리(가격포함),캘린더봉투,1.0 | 1.0,100.0 | 100.0,1.0 | 1.0
상품악세사리(가격포함),볼체인,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
상품악세사리(가격포함),와이어링,1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0
상품악세사리(가격포함),천정고리,1.0,100.0,1.0
상품악세사리(가격포함),투명케이스,1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0
상품악세사리(가격포함),행택끈,1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0
상품악세사리(가격포함),자석고정용고무판,1.0,100.0,1.0
상품악세사리(가격포함),우드거치대,1.0,100.0,1.0
상품악세사리(가격포함),우드봉,1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0
상품악세사리(가격포함),우드행거,1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0
상품악세사리(가격포함),만년스탬프 리필잉크,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
