prd_cd,prd_nm,siz_cd,siz_label,siz_nm_live,auth_min,auth_max,auth_incr,prod_min,prod_max,prod_incr,band_min,prop_min,prop_max,prop_incr,cur_min,cur_max,cur_incr,verdict,note
PRD_000021,핑크별색엽서,SIZ_000007,148 x 210 mm,148x210,4,10000,4,12,10000,12,,4,10000,4,,,,FILL,
PRD_000022,금은별색엽서,SIZ_000002,98 x 98 mm,98x98,12,10000,12,12,10000,12,,12,10000,12,,,,SKIP,
PRD_000022,금은별색엽서,SIZ_000003,100 x 150 mm,100x150,8,10000,8,12,10000,12,,8,10000,8,,,,FILL,
PRD_000022,금은별색엽서,SIZ_000004,135 x 135 mm,135x135,6,10000,6,12,10000,12,,6,10000,6,,,,FILL,
PRD_000022,금은별색엽서,SIZ_000007,148 x 210 mm,148x210,4,10000,4,12,10000,12,,4,10000,4,,,,FILL,
PRD_000023,모양엽서,SIZ_000119,90 x 90 mm,90x90,12,10000,12,12,10000,12,,12,10000,12,,,,SKIP,
PRD_000024,포토카드,SIZ_000012,55 x 86 mm,55x86,20,10000,20,20,10000,20,20,20,10000,20,,,,SKIP,
PRD_000025,투명포토카드,SIZ_000012,55 x 86 mm,55x86,20,10000,20,20,10000,20,20,20,10000,20,,,,SKIP,
PRD_000026,종이슬로건,SIZ_000015,300 x 100 mm,300x100,4,10000,4,4,10000,4,1,4,10000,4,,,,SKIP,
PRD_000026,종이슬로건,SIZ_000016,400 x 145 mm,400x145,2,10000,2,4,10000,4,1,2,10000,2,,,,FILL,
PRD_000027,2단접지카드,SIZ_000523,100 x 150 mm,100x150,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000027,2단접지카드,SIZ_000124,150 x 100 mm,150x100,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000027,2단접지카드,SIZ_000524,135 x 135 mm,135x135,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000027,2단접지카드,SIZ_000526,110 x 170 mm,110x170,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000027,2단접지카드,SIZ_000129,170 x 110 mm,170x110,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000028,미니접지카드,SIZ_000008,90 x 50 mm,90x50mm,30,10000,30,30,10000,30,,30,10000,30,,,,SKIP,
PRD_000029,3단접지카드,SIZ_000523,100 x 150 mm,100x150,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000029,3단접지카드,SIZ_000124,150 x 100 mm,150x100,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000029,3단접지카드,SIZ_000004,135 x 135 mm,135x135,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000029,3단접지카드,SIZ_000004,135 x 135 mm,135x135,8,10000,8,8,10000,8,10,10,10000,8,,,,SKIP,권위min 8 < 가격표최소구간 10
PRD_000030,지그재그엽서,SIZ_000031,600 x 150 mm,600x150,2,10000,2,2,10000,2,1,2,10000,2,,,,SKIP,
PRD_000031,프리미엄명함,SIZ_000008,90 x 50 mm,90x50mm,100,10000,100,100,10000,100,200,200,10000,100,,,,SKIP,권위min 100 < 가격표최소구간 200
PRD_000032,코팅명함,SIZ_000008,90 x 50 mm,90x50mm,100,10000,100,100,10000,100,100,100,10000,100,,,,SKIP,
PRD_000033,스탠다드명함,SIZ_000008,90 x 50 mm,90x50mm,100,10000,100,100,10000,100,100,100,10000,100,,,,SKIP,
PRD_000034,펄명함,SIZ_000008,90 x 50 mm,90x50mm,100,10000,100,100,10000,100,200,200,10000,100,,,,SKIP,권위min 100 < 가격표최소구간 200
PRD_000035,모양명함,SIZ_000008,90 x 50 mm,90x50mm,100,10000,100,100,10000,100,100,100,10000,100,,,,SKIP,
PRD_000036,미니모양명함,SIZ_000011,50 x 50 mm,50x50,100,10000,100,100,10000,100,100,100,10000,100,,,,SKIP,
PRD_000037,오리지널박명함,SIZ_000008,90 x 50 mm,90x50mm,200,1000,100,200,1000,100,200,200,1000,100,,,,SKIP,
PRD_000038,형압명함,SIZ_000008,90 x 50 mm,90x50mm,100,10000,100,100,10000,100,,100,10000,100,,,,SKIP,
PRD_000039,투명명함,SIZ_000008,90 x 50 mm,90x50mm,100,10000,100,100,10000,100,100,100,10000,100,,,,SKIP,
PRD_000040,화이트인쇄명함,SIZ_000008,90 x 50 mm,90x50mm,100,10000,100,100,10000,100,100,100,10000,100,,,,SKIP,
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000013,148 x 68 mm,148x68,12,10000,12,12,10000,12,1,12,10000,12,,,,SKIP,
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000014,148 x 75 mm,148x75,10,10000,10,12,10000,12,1,10,10000,10,,,,FILL,
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000013,148 x 68 mm,148x68,12,10000,12,12,10000,12,10,12,10000,12,,,,SKIP,
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000014,148 x 75 mm,148x75,10,10000,10,12,10000,12,10,10,10000,10,,,,FILL,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000033,76 x 100 mm,76x100,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000034,76 x 120 mm,76x120,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000035,86 x 120 mm,86x120,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000036,94 x 94 mm,94x94,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000037,62 x 180 mm,62x180,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
