prd_cd,prd_nm,wgt_cd,sel,qty,total,comps,verdict,note
PRD_000183,틴거울,WGT_000343,"{""proc_cd"": ""PROC_000004"", ""siz_cd"": ""SIZ_000505""}",1,3000,,OK,
PRD_000184,컴팩트거울,WGT_000344,"{""siz_cd"": ""SIZ_000505""}",1,3600,,OK,
PRD_000185,카드거울,WGT_000345,"{""print_opt_cd"": ""POPT_000001"", ""siz_cd"": ""SIZ_000504""}",3,7500,,OK,
PRD_000186,사각손거울,WGT_000346,"{""siz_cd"": ""SIZ_000384"", ""print_opt_cd"": ""POPT_000013""}",1,5000,,OK,
PRD_000187,블랙사각손거울,WGT_000347,"{""siz_cd"": ""SIZ_000384"", ""print_opt_cd"": ""POPT_000011""}",1,6000,,OK,
PRD_000188,레더코스터,WGT_000348,"{""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000006"", ""siz_cd"": ""SIZ_000557""}",1,3300,,OK,
PRD_000189,코르크코스터,WGT_000349,"{""print_opt_cd"": ""POPT_000013"", ""siz_cd"": ""SIZ_000557""}",1,3000,,OK,
PRD_000190,우드코스터,WGT_000350,"{""siz_cd"": ""SIZ_000557""}",1,7000,,OK,
PRD_000192,규조토코스터,WGT_000351,"{""siz_cd"": ""SIZ_000114""}",1,5000,,OK,
PRD_000193,머그컵,WGT_000274,"{""mat_cd"": ""MAT_000344"", ""siz_cd"": ""SIZ_000392""}",1,6500,,OK,
PRD_000194,워터북보틀,WGT_000352,"{""siz_cd"": ""SIZ_000611"", ""proc_cd"": ""PROC_000111""}",1,9000,,OK,
PRD_000196,레더여권케이스,WGT_000354,"{""mat_cd"": ""MAT_000379"", ""siz_cd"": ""SIZ_000257""}",1,5000,,OK,
PRD_000197,미니매트,WGT_000279,"{""siz_cd"": ""SIZ_000396""}",1,16000,,OK,
PRD_000198,피크닉매트,WGT_000357,"{""siz_cd"": ""SIZ_000399""}",1,40000,,OK,
PRD_000200,핀버튼,WGT_000005,"{""siz_cd"": ""SIZ_000548""}",4,3600,굿즈 사이즈별 완제품가=3600,OK,
PRD_000201,레더스트랩키링,WGT_000358,"{""siz_cd"": ""SIZ_000550"", ""mat_cd"": ""MAT_000379""}",1,3000,,OK,
PRD_000202,키캡키링,WGT_000276,"{""siz_cd"": ""SIZ_000566""}",1,8000,굿즈 사이즈별 완제품가=8000,OK,
PRD_000203,LED투명키캡키링,WGT_000361,"{""siz_cd"": ""SIZ_000569""}",1,6000,,OK,
PRD_000208,슬로건,WGT_000362,"{""print_opt_cd"": ""POPT_000002"", ""siz_cd"": ""SIZ_000560""}",1,12000,,OK,
PRD_000210,초슬림마우스패드,WGT_000417,"{""proc_cd"": ""PROC_000110"", ""siz_cd"": ""SIZ_000605""}",1,5000,,OK,
PRD_000211,장패드,WGT_000416,"{""siz_cd"": ""SIZ_000410""}",1,18000,,OK,
PRD_000212,극세사클리너,WGT_000353,"{""siz_cd"": ""SIZ_000411""}",1,2500,,OK,
PRD_000213,틴케이스,WGT_000414,"{""siz_cd"": ""SIZ_000412""}",1,3600,,OK,
PRD_000214,자석북마크,WGT_000415,"{""proc_cd"": ""PROC_000004"", ""siz_cd"": ""SIZ_000017""}",1,2500,,OK,필수공정 2종 중 1종만 적용
PRD_000215,클립보드,WGT_000419,"{""siz_cd"": ""SIZ_000413"", ""mat_cd"": ""MAT_000078"", ""proc_cd"": ""PROC_000004""}",1,8000,,OK,필수공정 2종 중 1종만 적용
PRD_000216,투명클립보드,WGT_000418,"{""siz_cd"": ""SIZ_000573"", ""print_opt_cd"": ""POPT_000010"", ""mat_cd"": ""MAT_000386"", ""proc_cd"": ""PROC_000111""}",1,9000,,OK,
PRD_000217,만년스탬프,WGT_000277,"{""siz_cd"": ""SIZ_000419""}",1,9000,굿즈 사이즈별 완제품가=9000,OK,
PRD_000219,밴드톡,WGT_000365,"{""siz_cd"": ""SIZ_000427""}",1,4500,,OK,
PRD_000220,폰스트랩,WGT_000366,"{""siz_cd"": ""SIZ_000428"", ""print_opt_cd"": ""POPT_000001""}",1,4500,굿즈 사이즈별 완제품가=4500,OK,
PRD_000221,말랑키링,WGT_000275,"{""siz_cd"": ""SIZ_000429""}",1,10000,,OK,
PRD_000223,말랑포카홀더,WGT_000360,"{""siz_cd"": ""SIZ_000609""}",1,14000,,OK,
PRD_000224,말랑네임택,WGT_000356,"{""siz_cd"": ""SIZ_000431""}",1,12000,,OK,
PRD_000225,말랑여권케이스,WGT_000355,"{""siz_cd"": ""SIZ_000432""}",1,14500,,OK,
PRD_000226,아크릴쉐이커코롯토,WGT_000412,"{""siz_cd"": ""SIZ_000506""}",1,,,ERR,사이즈 '60x98mm' 선택은 '굿즈 사이즈별 완제품가' 단가가 등록되지 않아 주문할 수 없습니다; 선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000228,이미지피켓(소형),WGT_000364,"{""siz_cd"": ""SIZ_000606""}",1,8500,,OK,
PRD_000229,이미지피켓,WGT_000363,"{""siz_cd"": ""SIZ_000577""}",1,12000,,OK,
PRD_000230,레더플랫파우치,WGT_000367,"{""siz_cd"": ""SIZ_000433"", ""mat_cd"": ""MAT_000379""}",1,8600,,OK,
PRD_000231,레더슬림파우치,WGT_000385,"{""siz_cd"": ""SIZ_000435"", ""mat_cd"": ""MAT_000379""}",1,8600,,OK,
PRD_000232,레더삼각파우치,WGT_000386,"{""siz_cd"": ""SIZ_000437"", ""mat_cd"": ""MAT_000379""}",1,11000,,OK,
PRD_000233,레더볼륨파우치,WGT_000387,"{""siz_cd"": ""SIZ_000579"", ""mat_cd"": ""MAT_000379""}",1,10800,,OK,
PRD_000234,레더스트링파우치,WGT_000381,"{""mat_cd"": ""MAT_000379"", ""siz_cd"": ""SIZ_000619""}",1,15000,,OK,
PRD_000235,레더스트링원형파우치,WGT_000382,"{""mat_cd"": ""MAT_000379"", ""siz_cd"": ""SIZ_000441""}",1,16500,,OK,
PRD_000236,레더플랫클러치,WGT_000383,"{""mat_cd"": ""MAT_000379"", ""siz_cd"": ""SIZ_000442""}",1,18000,,OK,
PRD_000237,레더삼각클러치,WGT_000384,"{""mat_cd"": ""MAT_000379"", ""siz_cd"": ""SIZ_000443""}",1,20000,,OK,
PRD_000238,레더아이패드노트북파우치,WGT_000380,"{""siz_cd"": ""SIZ_000581"", ""mat_cd"": ""MAT_000379""}",1,35000,굿즈 사이즈별 완제품가=35000,OK,
PRD_000244,타이벡플랫파우치,WGT_000368,"{""siz_cd"": ""SIZ_000453"", ""mat_cd"": ""MAT_000373"", ""proc_cd"": ""PROC_000108""}",1,8600,굿즈 사이즈별 완제품가=8600,OK,필수공정 2종 중 1종만 적용
PRD_000245,타이벡슬림파우치,WGT_000369,"{""siz_cd"": ""SIZ_000592"", ""mat_cd"": ""MAT_000373""}",1,6800,,OK,
PRD_000246,타이벡삼각파우치,WGT_000370,"{""siz_cd"": ""SIZ_000594"", ""mat_cd"": ""MAT_000373""}",1,7000,,OK,
PRD_000247,타이벡스트링파우치,WGT_000371,"{""siz_cd"": ""SIZ_000596"", ""mat_cd"": ""MAT_000381"", ""proc_cd"": ""PROC_000108""}",1,10000,,OK,필수공정 2종 중 1종만 적용
PRD_000248,타이벡플랫클러치,WGT_000372,"{""mat_cd"": ""MAT_000373"", ""siz_cd"": ""SIZ_000442""}",1,12500,,OK,
PRD_000249,메쉬슬림파우치,WGT_000373,"{""siz_cd"": ""SIZ_000599"", ""mat_cd"": ""MAT_000606"", ""proc_cd"": ""PROC_000108""}",1,8600,,OK,필수공정 2종 중 1종만 적용
PRD_000250,메쉬볼륨파우치,WGT_000388,"{""mat_cd"": ""MAT_000606"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000617""}",1,15000,,OK,필수공정 2종 중 1종만 적용
PRD_000251,레더플랫미니파우치,WGT_000389,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000462""}",1,6500,,OK,
PRD_000252,레더슬림미니파우치,WGT_000390,"{""siz_cd"": ""SIZ_000601"", ""mat_cd"": ""MAT_000379""}",1,6000,,OK,
PRD_000253,레더삼각미니파우치,WGT_000391,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000465""}",1,7200,,OK,
PRD_000254,레더볼륨미니파우치,WGT_000439,"{""siz_cd"": ""SIZ_000603"", ""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108""}",1,7500,,OK,
PRD_000255,레더원형미니파우치,WGT_000440,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000468""}",1,10000,,OK,
PRD_000256,레더플랫필통,WGT_000392,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000469""}",1,7500,,OK,필수공정 2종 중 1종만 적용
PRD_000257,레더슬림필통,WGT_000393,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000470""}",1,8500,,OK,
PRD_000258,레더삼각필통,WGT_000394,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000471""}",1,8500,,OK,
PRD_000259,레더볼륨필통,WGT_000395,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000472""}",1,9500,,OK,
PRD_000260,레더원형필통,WGT_000396,"{""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000473""}",1,10500,,OK,
PRD_000263,레더토트백,WGT_000397,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000586""}",1,31000,,OK,
PRD_000264,레더숄더백,WGT_000398,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000476""}",1,58000,,OK,
PRD_000273,타이벡양면백팩,WGT_000378,"{""siz_cd"": ""SIZ_000401"", ""mat_cd"": ""MAT_000381""}",1,17500,,OK,
PRD_000274,타이벡보냉보틀백,WGT_000377,"{""siz_cd"": ""SIZ_000486"", ""mat_cd"": ""MAT_000381""}",1,19500,,OK,
PRD_000275,타이벡보냉미니백,WGT_000376,"{""mat_cd"": ""MAT_000381"", ""siz_cd"": ""SIZ_000488""}",1,25000,,OK,
PRD_000276,타이벡에코백,WGT_000374,"{""mat_cd"": ""MAT_000381"", ""siz_cd"": ""SIZ_000489""}",1,22500,,OK,
PRD_000277,타이벡보냉에코백,WGT_000375,"{""mat_cd"": ""MAT_000381"", ""siz_cd"": ""SIZ_000489""}",1,28000,,OK,
PRD_000278,메쉬토트백,WGT_000399,"{""mat_cd"": ""MAT_000606"", ""siz_cd"": ""SIZ_000490""}",1,20500,,OK,
PRD_000279,메쉬에코백,WGT_000400,"{""mat_cd"": ""MAT_000606"", ""siz_cd"": ""SIZ_000491""}",1,25500,,OK,
PRD_000280,레더라벨제작,WGT_000379,"{""siz_cd"": ""SIZ_000492"", ""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108""}",10,2000,,OK,
PRD_000283,트레싱지봉투,WGT_000291,"{""siz_cd"": ""SIZ_000096"", ""bdl_qty"": ""20""}",1,6000,,OK,
