prd_cd,prd_nm,wgt_cd,comp_cd,sel,qty,total,verdict,err
PRD_000224,말랑네임택,WGT_000356,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000225,말랑여권케이스,WGT_000355,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000226,아크릴쉐이커코롯토,WGT_000412,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000228,이미지피켓(소형),WGT_000364,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000229,이미지피켓,WGT_000363,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000230,레더플랫파우치,WGT_000367,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000231,레더슬림파우치,WGT_000385,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000232,레더삼각파우치,WGT_000386,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000233,레더볼륨파우치,WGT_000387,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000234,레더스트링파우치,WGT_000381,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000235,레더스트링원형파우치,WGT_000382,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000236,레더플랫클러치,WGT_000383,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000237,레더삼각클러치,WGT_000384,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000238,레더아이패드노트북파우치,WGT_000380,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000244,타이벡플랫파우치,WGT_000368,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000245,타이벡슬림파우치,WGT_000369,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000246,타이벡삼각파우치,WGT_000370,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000247,타이벡스트링파우치,WGT_000371,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000248,타이벡플랫클러치,WGT_000372,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000249,메쉬슬림파우치,WGT_000373,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000250,메쉬볼륨파우치,WGT_000388,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000251,레더플랫미니파우치,WGT_000389,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000252,레더슬림미니파우치,WGT_000390,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000253,레더삼각미니파우치,WGT_000391,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000254,레더볼륨미니파우치,WGT_000439,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000255,레더원형미니파우치,WGT_000440,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000256,레더플랫필통,WGT_000392,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000257,레더슬림필통,WGT_000393,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000258,레더삼각필통,WGT_000394,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000259,레더볼륨필통,WGT_000395,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000260,레더원형필통,WGT_000396,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000263,레더토트백,WGT_000397,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000264,레더숄더백,WGT_000398,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000273,타이벡양면백팩,WGT_000378,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000274,타이벡보냉보틀백,WGT_000377,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000275,타이벡보냉미니백,WGT_000376,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000276,타이벡에코백,WGT_000374,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000277,타이벡보냉에코백,WGT_000375,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000278,메쉬토트백,WGT_000399,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000279,메쉬에코백,WGT_000400,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000280,레더라벨제작,WGT_000379,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",10,98000,OK,
PRD_000283,트레싱지봉투,WGT_000291,COMP_ACC_ENV_TRACING,"{""siz_cd"": ""SIZ_000096"", ""bdl_qty"": 20}",1,6000,OK,
