prd_cd,prd_nm,wgt_cd,siz_cd,mat_cd,qty,total,verdict,err
PRD_000061,반칼띠지스티커,WGT_000310,SIZ_000426,MAT_000611,4,23200,OK,
PRD_000062,반칼팬시스티커,WGT_000311,SIZ_000067,MAT_000584,8,50400,OK,
PRD_000063,반칼팬시투명스티커,WGT_000312,SIZ_000058,MAT_000371,8,58400,OK,
PRD_000067,타투스티커,WGT_000313,,MAT_000594,3,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000068,중철책자,WGT_000420,SIZ_000250,MAT_000073,2,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000069,무선책자,WGT_000288,SIZ_000250,MAT_000073,2,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000070,PUR책자,WGT_000429,SIZ_000250,,2,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000071,트윈링책자,WGT_000428,SIZ_000263,MAT_000072,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000072,하드커버책자,WGT_000430,SIZ_000250,,1,34100,OK,
PRD_000077,레더하드커버책자,WGT_000432,SIZ_000250,,1,34100,OK,
PRD_000082,하드커버링책자,WGT_000431,SIZ_000263,,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000094,엽서북,WGT_000287,SIZ_000004,,2,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000097,떡메모지,WGT_000424,SIZ_000119,MAT_000073,3,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000108,탁상형캘린더,WGT_000283,SIZ_000070,MAT_000090,1,63,OK,
PRD_000109,미니탁상형캘린더,WGT_000427,SIZ_000071,MAT_000090,1,63,OK,
PRD_000110,엽서캘린더,WGT_000284,SIZ_000072,MAT_000090,1,63,OK,
PRD_000111,벽걸이캘린더,WGT_000285,SIZ_000616,MAT_000107,1,113,OK,
PRD_000112,와이드벽걸이캘린더,WGT_000286,SIZ_000077,MAT_000112,1,273,OK,
PRD_000118,아트프린트포스터,WGT_000258,SIZ_000315,MAT_000599,1,12000,OK,
PRD_000119,아트페이퍼포스터,WGT_000324,SIZ_000315,MAT_000177,1,12000,OK,
PRD_000120,방수포스터,WGT_000325,SIZ_000315,MAT_000178,1,12000,OK,
PRD_000121,접착방수포스터,WGT_000326,SIZ_000315,MAT_000179,1,12000,OK,
PRD_000122,접착투명포스터,WGT_000327,SIZ_000315,MAT_000180,1,16000,OK,
PRD_000123,아트패브릭포스터,WGT_000328,SIZ_000315,MAT_000181,1,12000,OK,
PRD_000124,린넨패브릭포스터,WGT_000259,SIZ_000542,MAT_000607,1,17000,OK,
PRD_000125,캔버스패브릭포스터,WGT_000329,SIZ_000542,MAT_000185,1,19000,OK,
PRD_000126,레더아트프린트,WGT_000330,SIZ_000315,MAT_000379,1,19000,OK,
PRD_000127,타이벡프린트,WGT_000331,SIZ_000315,MAT_000373,1,19000,OK,
PRD_000128,메쉬프린트,WGT_000332,SIZ_000315,MAT_000183,1,19000,OK,
PRD_000129,폼보드,WGT_000333,SIZ_000315,MAT_000398,1,6000,OK,
PRD_000130,포맥스보드,WGT_000442,SIZ_000175,MAT_000022,1,8500,OK,
PRD_000131,프레임리스우드액자,WGT_000334,SIZ_000175,MAT_000593,1,16000,OK,
PRD_000132,레더아트액자,WGT_000335,SIZ_000304,MAT_000379,1,9000,OK,
PRD_000133,캔버스 행잉포스터,WGT_000336,SIZ_000258,MAT_000185,1,6000,OK,
PRD_000134,린넨우드봉족자,WGT_000260,SIZ_000314,MAT_000607,1,6000,OK,
PRD_000135,족자포스터,WGT_000266,SIZ_000315,MAT_000178,1,13000,OK,
PRD_000136,PET배너,WGT_000261,SIZ_000321,MAT_000601,1,22000,OK,
PRD_000137,메쉬배너,WGT_000337,SIZ_000321,MAT_000183,1,38000,OK,
PRD_000138,일반현수막,WGT_000262,SIZ_000322,MAT_000605,1,36000,OK,
PRD_000139,메쉬현수막,WGT_000338,SIZ_000323,MAT_000183,1,20000,OK,
PRD_000140,무광시트커팅,WGT_000264,SIZ_000258,MAT_000388,1,6000,OK,
PRD_000141,홀로그램 시트커팅,WGT_000339,SIZ_000315,MAT_000390,1,16000,OK,
PRD_000142,유광아크릴스티커,WGT_000265,SIZ_000327,MAT_000376,1,37000,OK,
PRD_000143,미러아크릴스티커,WGT_000340,SIZ_000326,MAT_000377,1,29000,OK,
PRD_000144,미니보드스탠딩,WGT_000341,SIZ_000426,,1,,ERR,[COMP_POSTER_MINI_STANDBOARD] 최소 주문수량 미달; 선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000145,미니배너,WGT_000342,SIZ_000328,MAT_000178,1,,ERR,[COMP_POSTER_MINI_BANNER] 최소 주문수량 미달; 선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000146,아크릴키링,WGT_000267,SIZ_000333,MAT_000386,1,3800,OK,
PRD_000147,아크릴마그넷,WGT_000306,SIZ_000216,MAT_000386,1,3100,OK,
PRD_000148,아크릴뱃지,WGT_000405,SIZ_000218,MAT_000386,1,3800,OK,
PRD_000149,아크릴집게,WGT_000008,SIZ_000216,MAT_000386,1,3100,OK,
PRD_000150,아크릴스마트톡,WGT_000270,SIZ_000011,MAT_000386,1,4800,OK,
PRD_000152,아크릴명찰,WGT_000406,SIZ_000350,MAT_000386,1,4700,OK,
PRD_000153,아크릴명찰(골드실버),WGT_000407,SIZ_000348,MAT_000377,1,4000,OK,
PRD_000154,아크릴 머리끈,WGT_000409,SIZ_000216,MAT_000386,1,3100,OK,
PRD_000155,아크릴볼펜,WGT_000268,SIZ_000336,MAT_000433,1,1800,OK,
PRD_000156,아크릴지비츠,WGT_000408,SIZ_000336,MAT_000386,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000159,아크릴코스터,WGT_000269,SIZ_000355,MAT_000386,1,12700,OK,
PRD_000160,아크릴자유형스탠드,WGT_000271,SIZ_000361,MAT_000386,1,22600,OK,
PRD_000161,판아크릴,WGT_000410,SIZ_000359,MAT_000386,1,16700,OK,
PRD_000163,아크릴미니파츠,WGT_000413,SIZ_000365,MAT_000387,1,10000,OK,
PRD_000164,아크릴코롯토,WGT_000272,SIZ_000508,MAT_000416,1,8400,OK,
PRD_000166,아크릴카라비너,WGT_000273,SIZ_000369,MAT_000661,1,6900,OK,
PRD_000177,스프링노트,WGT_000422,SIZ_000171,,1,4500,OK,
PRD_000179,메모패드,WGT_000426,SIZ_000379,,1,5000,OK,
PRD_000181,중철노트,WGT_000425,SIZ_000057,,4,10000,OK,
PRD_000183,틴거울,WGT_000343,SIZ_000505,,1,3000,OK,
PRD_000184,컴팩트거울,WGT_000344,SIZ_000505,,1,3600,OK,
PRD_000185,카드거울,WGT_000345,SIZ_000504,,3,7500,OK,
PRD_000186,사각손거울,WGT_000346,SIZ_000384,,1,5000,OK,
PRD_000187,블랙사각손거울,WGT_000347,SIZ_000384,,1,6000,OK,
PRD_000188,레더코스터,WGT_000348,SIZ_000557,MAT_000379,1,3300,OK,
PRD_000189,코르크코스터,WGT_000349,SIZ_000557,,1,3000,OK,
PRD_000190,우드코스터,WGT_000350,SIZ_000557,,1,7000,OK,
PRD_000192,규조토코스터,WGT_000351,SIZ_000114,,1,5000,OK,
PRD_000193,머그컵,WGT_000274,SIZ_000392,MAT_000344,1,6500,OK,
PRD_000194,워터북보틀,WGT_000352,SIZ_000611,,1,9000,OK,
PRD_000196,레더여권케이스,WGT_000354,SIZ_000257,MAT_000379,1,5000,OK,
PRD_000197,미니매트,WGT_000279,SIZ_000396,,1,16000,OK,
PRD_000198,피크닉매트,WGT_000357,SIZ_000402,,1,60000,OK,
PRD_000200,핀버튼,WGT_000005,SIZ_000548,,4,3600,OK,
PRD_000201,레더스트랩키링,WGT_000358,SIZ_000550,MAT_000379,1,3000,OK,
PRD_000202,키캡키링,WGT_000276,SIZ_000566,,1,8000,OK,
PRD_000203,LED투명키캡키링,WGT_000361,SIZ_000569,,1,6000,OK,
PRD_000208,슬로건,WGT_000362,SIZ_000560,,1,12000,OK,
PRD_000210,초슬림마우스패드,WGT_000417,SIZ_000605,,1,5000,OK,
PRD_000211,장패드,WGT_000416,SIZ_000410,,1,18000,OK,
PRD_000212,극세사클리너,WGT_000353,SIZ_000411,,1,2500,OK,
PRD_000213,틴케이스,WGT_000414,SIZ_000412,,1,3600,OK,
PRD_000214,자석북마크,WGT_000415,SIZ_000017,,1,2500,OK,
PRD_000215,클립보드,WGT_000419,SIZ_000413,MAT_000078,1,8000,OK,
PRD_000216,투명클립보드,WGT_000418,SIZ_000573,MAT_000386,1,9000,OK,
PRD_000217,만년스탬프,WGT_000277,SIZ_000419,,1,9000,OK,
PRD_000219,밴드톡,WGT_000365,SIZ_000427,,1,4500,OK,
PRD_000220,폰스트랩,WGT_000366,SIZ_000428,,1,4500,OK,
PRD_000221,말랑키링,WGT_000275,SIZ_000429,,1,10000,OK,
PRD_000223,말랑포카홀더,WGT_000360,SIZ_000609,,1,14000,OK,
PRD_000224,말랑네임택,WGT_000356,SIZ_000431,,1,12000,OK,
PRD_000225,말랑여권케이스,WGT_000355,SIZ_000432,,1,14500,OK,
PRD_000226,아크릴쉐이커코롯토,WGT_000412,SIZ_000506,,1,,ERR,사이즈 '60x98mm' 선택은 '굿즈 사이즈별 완제품가' 단가가 등록되지 않아 주문할 수 없습니다; 선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000228,이미지피켓(소형),WGT_000364,SIZ_000606,,1,8500,OK,
PRD_000229,이미지피켓,WGT_000363,SIZ_000577,,1,12000,OK,
PRD_000230,레더플랫파우치,WGT_000367,SIZ_000433,MAT_000379,1,8600,OK,
PRD_000231,레더슬림파우치,WGT_000385,SIZ_000435,MAT_000379,1,8600,OK,
PRD_000232,레더삼각파우치,WGT_000386,SIZ_000437,MAT_000379,1,11000,OK,
PRD_000233,레더볼륨파우치,WGT_000387,SIZ_000579,MAT_000379,1,10800,OK,
PRD_000234,레더스트링파우치,WGT_000381,SIZ_000619,MAT_000379,1,15000,OK,
PRD_000235,레더스트링원형파우치,WGT_000382,SIZ_000441,MAT_000379,1,16500,OK,
PRD_000236,레더플랫클러치,WGT_000383,SIZ_000442,MAT_000379,1,18000,OK,
PRD_000237,레더삼각클러치,WGT_000384,SIZ_000443,MAT_000379,1,20000,OK,
