prd_cd,prd_nm,wgt_cd,proc_cd,proc_nm,qty,base,withproc,gap,verdict,note,base_comps
PRD_000214,자석북마크,WGT_000415,PROC_000004,디지털인쇄,1,2500,2500,0,OK,,
PRD_000214,자석북마크,WGT_000415,PROC_000123,완칼커팅,1,2500,2500,0,OK,,
PRD_000215,클립보드,WGT_000419,PROC_000004,디지털인쇄,1,8000,8000,0,OK,,
PRD_000215,클립보드,WGT_000419,PROC_000015,무광라미네이팅,1,8000,8000,0,OK,,
PRD_000216,투명클립보드,WGT_000418,PROC_000111,UV평판인쇄,1,9000,9000,0,OK,,
PRD_000244,타이벡플랫파우치,WGT_000368,PROC_000108,패브릭출력,1,8600,8600,0,OK,,굿즈 사이즈별 완제품가
PRD_000244,타이벡플랫파우치,WGT_000368,PROC_000130,오버로크,1,8600,8600,0,OK,,굿즈 사이즈별 완제품가
PRD_000247,타이벡스트링파우치,WGT_000371,PROC_000108,패브릭출력,1,10000,10000,0,OK,,
PRD_000247,타이벡스트링파우치,WGT_000371,PROC_000130,오버로크,1,10000,10000,0,OK,,
PRD_000249,메쉬슬림파우치,WGT_000373,PROC_000130,오버로크,1,8600,8600,0,OK,,
PRD_000249,메쉬슬림파우치,WGT_000373,PROC_000108,패브릭출력,1,8600,8600,0,OK,,
PRD_000250,메쉬볼륨파우치,WGT_000388,PROC_000108,패브릭출력,1,15000,15000,0,OK,,
PRD_000250,메쉬볼륨파우치,WGT_000388,PROC_000130,오버로크,1,15000,15000,0,OK,,
PRD_000251,레더플랫미니파우치,WGT_000389,PROC_000108,패브릭출력,1,6500,6500,0,OK,,
PRD_000253,레더삼각미니파우치,WGT_000391,PROC_000108,패브릭출력,1,7200,7200,0,OK,,
PRD_000254,레더볼륨미니파우치,WGT_000439,PROC_000108,패브릭출력,1,8000,8000,0,OK,,
PRD_000255,레더원형미니파우치,WGT_000440,PROC_000108,패브릭출력,1,10000,10000,0,OK,,
PRD_000256,레더플랫필통,WGT_000392,PROC_000108,패브릭출력,1,7500,7500,0,OK,,
PRD_000256,레더플랫필통,WGT_000392,PROC_000130,오버로크,1,7500,7500,0,OK,,
PRD_000257,레더슬림필통,WGT_000393,PROC_000108,패브릭출력,1,8500,8500,0,OK,,
PRD_000258,레더삼각필통,WGT_000394,PROC_000108,패브릭출력,1,8500,8500,0,OK,,
PRD_000259,레더볼륨필통,WGT_000395,PROC_000108,패브릭출력,1,9500,9500,0,OK,,
PRD_000260,레더원형필통,WGT_000396,PROC_000108,패브릭출력,1,10500,10500,0,OK,,
PRD_000263,레더토트백,WGT_000397,PROC_000108,패브릭출력,1,31000,31000,0,OK,,
PRD_000264,레더숄더백,WGT_000398,PROC_000108,패브릭출력,1,58000,58000,0,OK,,
PRD_000280,레더라벨제작,WGT_000379,PROC_000108,패브릭출력,10,2000,2000,0,OK,,
