product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,선택(옵션)_선택,선택(옵션)_가격,가격,가공(옵션)_가공,가공(옵션)_가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,구간할인적용테이블,Z,AA,AB,AC,AD,AE
14715,레더라벨제작,에코백부자재,25,258,,,,,삼성(갤럭시Z폴드3)★,,,,,,,,업로드,,,,20000,,,,,,,,옵션추가가격(5500원),,,,,,
14715,레더라벨제작,에코백부자재,26,259,,,,,아이폰11,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,27,260,,,,,아이폰11프로,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,28,261,,,,,아이폰11프로맥스,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,29,262,,,,,아이폰12미니,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,30,263,,,,,아이폰12프로,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,31,264,,,,,아이폰12프로맥스,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,32,265,,,,,아이폰13,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,33,266,,,,,아이폰13미니,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,34,267,,,,,아이폰13프로,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,35,268,,,,,아이폰13프로맥스,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,36,269,,,,,아이폰14★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,37,270,,,,,아이폰14미니★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,38,271,,,,,아이폰14프로★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,39,272,,,,,아이폰14프로맥스★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,40,273,,,,,아이폰15★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,41,274,,,,,아이폰15프로★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,42,275,,,,,아이폰15프로맥스★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,43,276,,,,,아이폰15플러스★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,44,277,,,,,,,,,,,,,업로드,,,,,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,45,278,,,,블랙젤리,삼성(갤럭시S21),,,,,,PNG,,업로드,,,,13000,,,,,,,,7700,,,,,,
14715,레더라벨제작,에코백부자재,46,279,,,,,삼성(갤럭시S21플러스),,,,,,PNG,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,47,280,,,,,삼성(갤럭시S21울트라),,,,,,PNG,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,48,281,,,,,삼성(갤럭시S22),,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,49,282,,,,,삼성(갤럭시S22플러스),,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,50,283,,,,,삼성(갤럭시S22울트라),,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,51,284,,,,,삼성(갤럭시S23)★,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,52,285,,,,,삼성(갤럭시S23플러스)★,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,53,286,,,,,삼성(갤럭시S23울트라)★,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,54,287,,,,,삼성(갤럭시S24)★,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,55,288,,,,,삼성(갤럭시S24플러스)★,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,56,289,,,,,삼성(갤럭시S24울트라)★,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,57,290,,,,,아이폰11,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,58,291,,,,,아이폰11프로,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,59,292,,,,,아이폰11프로맥스,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,60,293,,,,,아이폰12미니,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,61,294,,,,,아이폰12프로,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,62,295,,,,,아이폰12프로맥스,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,63,296,,,,,아이폰13,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,64,297,,,,,아이폰13미니,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,65,298,,,,,아이폰13프로,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,66,299,,,,,아이폰13프로맥스,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,67,300,,,,,아이폰14★,,,,,,,,업로드,,,,13000,,,,,,,,,,,,,,
