mat_cd,mat_nm,mat_typ_cd,mat_typ_nm,upr_mat_cd,upr_mat_nm,width,height,depth,weight,bdl_qty,sel_typ_cd,use_yn,del_yn,note,active_child_cnt,price_ref_cnt,prd_wire_cnt
MAT_000054,스마트톡 화이트바디,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000055,투명집게(자석형),MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,0
MAT_000048,1구자석,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000049,2구자석,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000183,메쉬,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,| 정정 2026-06-14: 실사소재(.08)→원단(.05) product-bom §146,0,0,7
MAT_000177,매트지,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,,0,0,1
MAT_000176,인화지,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,,0,0,1
MAT_000181,그래픽천,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,| 정정 2026-06-14: 실사소재(.08)→원단(.05) product-bom §146,0,0,1
MAT_000190,블랙시트,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,,0,0,0
MAT_000182,현수막천,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,| 정정 2026-06-14: 실사소재(.08)→원단(.05) product-bom §146,0,0,1
MAT_000189,화이트시트,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,,0,0,0
MAT_000191,홀로그램시트,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,,0,0,0
MAT_000178,PET,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,,0,0,7
MAT_000180,투명PVC,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,,0,0,1
MAT_000179,PVC,MAT_TYPE.08,실사소재,,,,,,,,,Y,N,,0,0,1
MAT_000205,볼체인 민트그린 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,3,,Y,N,,0,0,1
MAT_000207,볼체인 바이올렛 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000202,볼체인 오렌지 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000204,볼체인 핫핑크 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,3,,Y,N,,0,0,1
MAT_000209,볼체인 화이트 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000208,볼체인 블랙 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000206,볼체인 블루 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000203,볼체인 핑크 (3개1팩),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000232,만년스탬프 리필잉크 청보라 (5cc),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000235,만년스탬프 리필잉크 검정 (5cc),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000239,만년스탬프 리필잉크 노랑 (5cc),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000234,만년스탬프 리필잉크 빨강 (5cc),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000237,만년스탬프 리필잉크 초록 (5cc),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000236,만년스탬프 리필잉크 파랑 (5cc),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000238,만년스탬프 리필잉크 핑크 (5cc),MAT_TYPE.10,악세사리상품(추가상품),,,,,,,,,Y,N,,0,0,1
MAT_000158,미색매트지,MAT_TYPE.11,스티커용지,,,,,,80.00,,,Y,N,,0,0,0
MAT_000242,미색스티커,MAT_TYPE.11,스티커용지,,,,,,,,,Y,N, | 정정 2026-06-14: 자재유형 종이(.01)→스티커(.11) 점착지,0,468,8
MAT_000153,유포스티커,MAT_TYPE.11,스티커용지,,,330.00,470.00,,80.00,,,Y,N,,0,689,8
MAT_000167,타투전용지,MAT_TYPE.11,스티커용지,,,210.00,297.00,,,,,Y,N,,0,1,1
MAT_000162,투명스티커,MAT_TYPE.11,스티커용지,,,330.00,480.00,,105.00,,,Y,N,,0,174,2
MAT_000243,투명전용지,MAT_TYPE.11,스티커용지,,,,,,,,,Y,N, | 정정 2026-06-14: 자재유형 종이(.01)→스티커(.11) 점착지,0,0,1
MAT_000161,수분리스티커,MAT_TYPE.11,스티커용지,,,315.00,470.00,,80.00,,,Y,N,,0,0,0
MAT_000155,무광코팅스티커,MAT_TYPE.11,스티커용지,,,,,,90.00,,,Y,N,,0,468,8
MAT_000156,유광코팅스티커,MAT_TYPE.11,스티커용지,,,,,,90.00,,,Y,N,,0,468,8
MAT_000163,홀로그램스티커,MAT_TYPE.11,스티커용지,,,,,,50.00,,,Y,N,,0,144,1
MAT_000164,크라프트 스티커,MAT_TYPE.11,스티커용지,,,,,,57.00,,,Y,N,,0,0,0
MAT_000165,유포지+엠보코팅,MAT_TYPE.11,스티커용지,,,,,,,,,Y,N,,0,0,0
MAT_000160,리무벌아트지 90g,MAT_TYPE.11,스티커용지,,,,,,90.00,,,Y,N,,0,0,0
MAT_000166,투명접착 PVC,MAT_TYPE.11,스티커용지,,,,,,,,,Y,N,,0,0,0
MAT_000293,틴케이스,MAT_TYPE.12,사입자재,,,,,,,,,Y,N,,1,0,1
MAT_000269,워터북보틀,MAT_TYPE.12,사입자재,,,,,,,,,Y,N,,2,0,1
MAT_000268,화이트머그 (11온스),MAT_TYPE.12,사입자재,,,,,,,,,Y,N,,0,0,1
MAT_000281,미니CD키링 세트,MAT_TYPE.12,사입자재,,,,,,,,,Y,N,,0,0,1
MAT_000342,워터북보틀 350ml,MAT_TYPE.12,사입자재,MAT_000269,워터북보틀,,,,,,,Y,N,,0,0,0
MAT_000343,워터북보틀 500ml,MAT_TYPE.12,사입자재,MAT_000269,워터북보틀,,,,,,,Y,N,,0,0,0
MAT_000341,미니틴케이스,MAT_TYPE.12,사입자재,MAT_000293,틴케이스,,,,,,,Y,N,,0,0,0
MAT_000084,비코팅스티커,MAT_TYPE.13,합판스티커용지,,,316.00,467.00,,90.00,,,Y,N,| 정정 2026-06-14: 자재유형 종이(.01)→스티커(.11) 점착지,0,653,9
MAT_000171,은데드롱스티커,MAT_TYPE.13,합판스티커용지,,,,,,25.00,,,Y,N,,0,0,1
MAT_000170,투명데드롱스티커,MAT_TYPE.13,합판스티커용지,,,,,,25.00,,,Y,N,,0,0,1
MAT_000169,레자크줄무늬백색 110g,MAT_TYPE.14,합판봉투용지,,,,,,110.00,,,Y,N,,0,0,1
MAT_000168,레자크체크백색 110g,MAT_TYPE.14,합판봉투용지,,,,,,110.00,,,Y,N,,0,20,1
