mallProductNo,productName,productManagementCd,saleStatusType,nonmemberPurchaseYn,minorPurchaseYn,memberGradeDisplayInfo,memberGroupDisplayInfo,판정,조회오류
136008958,판아크릴,PRD_000161,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008957,아크릴자유형스탠드,PRD_000160,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008956,아크릴 포카키링,PRD_000158,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008954,아크릴네임택,PRD_000157,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008953,아크릴지비츠,PRD_000156,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008951,아크릴볼펜,PRD_000155,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008950,아크릴 머리끈,PRD_000154,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008948,아크릴명찰(골드실버),PRD_000153,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008947,아크릴명찰,PRD_000152,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008946,아크릴스마트톡,PRD_000150,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008944,아크릴집게,PRD_000149,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008942,아크릴뱃지,PRD_000148,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008941,아크릴마그넷,PRD_000147,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008940,아크릴키링,PRD_000146,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008932,말랑포카홀더,PRD_000223,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008923,아크릴코스터,PRD_000159,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008920,트레싱지봉투,PRD_000283,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008919,라벨/택,PRD_000046,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008918,인쇄헤더택,PRD_000045,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008917,인쇄배경지(커팅형),PRD_000044,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008915,인쇄배경지(일반형),PRD_000043,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008913,만년스탬프 리필잉크,PRD_000015,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008912,우드행거,PRD_000014,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008911,우드봉,PRD_000013,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
