mallProductNo,productName,productManagementCd,saleStatusType,nonmemberPurchaseYn,minorPurchaseYn,memberGradeDisplayInfo,memberGroupDisplayInfo,판정,조회오류
136008999,벽걸이캘린더,PRD_000111,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008997,미니탁상형캘린더,PRD_000109,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008996,탁상형캘린더,PRD_000108,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008995,레더라벨제작,PRD_000280,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008992,타이벡에코백,PRD_000276,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008987,레더토트백,PRD_000263,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008986,레더원형필통,PRD_000260,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008985,레더볼륨필통,PRD_000259,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008984,레더삼각필통,PRD_000258,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008982,레더슬림필통,PRD_000257,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008981,레더플랫필통,PRD_000256,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008978,레더슬림미니파우치,PRD_000252,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008977,레더플랫미니파우치,PRD_000251,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008975,메쉬슬림파우치,PRD_000249,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008970,레더삼각클러치,PRD_000237,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008967,레더스트링파우치,PRD_000234,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008966,레더볼륨파우치,PRD_000233,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008964,레더슬림파우치,PRD_000231,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008963,아크릴카라비너,PRD_000166,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008961,아크릴미니파츠,PRD_000163,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008959,아크릴포카스탠드,PRD_000162,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
