code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
CAT_000012,포장,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 4, ""disp_seq"": ""12"", ""use_yn"": ""Y""}",,포장,12,N,live,
CAT_000058,전단지/리플랫,"{""upr_cat_cd"": ""CAT_000003"", ""parent_nm"": ""인쇄홍보물"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,인쇄홍보물 > 전단지/리플랫,1,N,live,leaf(상품1)
CAT_000062,쿠폰/상품권,"{""upr_cat_cd"": ""CAT_000003"", ""parent_nm"": ""인쇄홍보물"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,인쇄홍보물 > 쿠폰/상품권,2,N,live,leaf(상품2)
CAT_000065,봉투/홀더 외,"{""upr_cat_cd"": ""CAT_000003"", ""parent_nm"": ""인쇄홍보물"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,인쇄홍보물 > 봉투/홀더 외,0,N,live,empty_node(자식0·상품0)
CAT_000072,패브릭포스터,"{""upr_cat_cd"": ""CAT_000004"", ""parent_nm"": ""포스터"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,포스터 > 패브릭포스터,2,N,live,leaf(상품2)
CAT_000076,아트프린트,"{""upr_cat_cd"": ""CAT_000004"", ""parent_nm"": ""포스터"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,포스터 > 아트프린트,1,N,live,leaf(상품1)
CAT_000080,보드액자,"{""upr_cat_cd"": ""CAT_000004"", ""parent_nm"": ""포스터"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,포스터 > 보드액자,0,N,live,empty_node(자식0·상품0)
CAT_000092,시트커팅/스티커,"{""upr_cat_cd"": ""CAT_000005"", ""parent_nm"": ""사인"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,사인 > 시트커팅/스티커,0,N,live,empty_node(자식0·상품0)
CAT_000097,POP,"{""upr_cat_cd"": ""CAT_000005"", ""parent_nm"": ""사인"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,사인 > POP,0,N,live,empty_node(자식0·상품0)
CAT_000104,하드커버책자,"{""upr_cat_cd"": ""CAT_000006"", ""parent_nm"": ""책자"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 3, ""disp_seq"": """", ""use_yn"": ""Y""}",,책자 > 하드커버책자,0,N,live,container(자식3·상품0)
CAT_000108,포토북,"{""upr_cat_cd"": ""CAT_000006"", ""parent_nm"": ""책자"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 3, ""disp_seq"": """", ""use_yn"": ""Y""}",,책자 > 포토북,8,N,live,
CAT_000112,탁상형캘린더,"{""upr_cat_cd"": ""CAT_000007"", ""parent_nm"": ""캘린더"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""0"", ""use_yn"": ""Y""}",,캘린더 > 탁상형캘린더,3,N,live,leaf(상품3)
CAT_000118,디자인캘린더,"{""upr_cat_cd"": ""CAT_000007"", ""parent_nm"": ""캘린더"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 3, ""disp_seq"": """", ""use_yn"": ""Y""}",,캘린더 > 디자인캘린더,0,N,live,container(자식3·상품0)
