prd_cd,prd_nm,prd_typ,verdict,prd_min,prd_max,prd_incr,strictest_band_min,loosest_band_min,max_band_start,frm_cd,trap_comps
PRD_000067,타투스티커,PRD_TYPE.01,OK,3,1000,3,3,3,999,PRF_STK_TATTOO,
PRD_000068,중철책자,PRD_TYPE.01,OK,2,1000,1,1,1,1000,PRF_BIND_SUM,
PRD_000069,무선책자,PRD_TYPE.01,TRAP_MIN,2,1000,1,10,1,10000,PRF_BIND_MUSEON,COMP_FOIL_PROC_LARGE_SPECIAL;COMP_FOIL_PROC_LARGE_STD
PRD_000070,PUR책자,PRD_TYPE.01,TRAP_MIN,2,1000,1,10,1,10000,PRF_BIND_PUR_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL;COMP_FOIL_PROC_LARGE_STD
PRD_000071,트윈링책자,PRD_TYPE.01,OK,1,1000,1,1,1,1000,PRF_BIND_TWINRING,
PRD_000072,하드커버책자,PRD_TYPE.01,OK,1,1000,1,1,1,1000,PRF_HC_MUSEON_SET,
PRD_000077,레더 하드커버책자,PRD_TYPE.01,OK,1,1000,1,1,1,1000,PRF_HC_MUSEON_SET,
PRD_000082,하드커버 링책자,PRD_TYPE.01,OK,1,1000,1,1,1,1000,PRF_HC_TWINRING_SET,
PRD_000088,레더 링바인더,PRD_TYPE.01,OK,1,1000,1,1,1,1000,PRF_LEATHER_RINGBINDER_SET,
PRD_000094,엽서북,PRD_TYPE.01,OK,2,10000,1,2,2,3000,PRF_PCB_FIXED,
PRD_000097,떡메모지,PRD_TYPE.01,TRAP_MIN,3,1000,3,6,6,600,PRF_TTEOKME_FIXED,COMP_TTEOKME
PRD_000100,포토북 [디자인명],PRD_TYPE.01,INFO_MAX,1,1000,1,1,1,1,PRF_PHOTOBOOK_FIXED,
PRD_000101,포토북 [디자인명]-내지(몽블랑130),PRD_TYPE.02,OK,(미등록=1),,,1,1,1,PRF_PHOTOBOOK_INNER,
PRD_000108,탁상형캘린더,PRD_TYPE.01,OK,1,10000,1,1,1,1000000,PRF_DGP_CAL_DESK,
PRD_000109,미니탁상형캘린더,PRD_TYPE.01,OK,1,10000,1,1,1,1000000,PRF_DGP_CAL_DESK,
PRD_000110,엽서캘린더,PRD_TYPE.01,OK,1,10000,1,1,1,1000000,PRF_DGP_INNER,
