옵션그룹	상품코드	상품명	옵션코드	옵션명	해소차원
커팅	PRD_000059	반칼정사각스티커	OPV_000854	50x50mm (6ea)	-
커팅	PRD_000059	반칼정사각스티커	OPV_000855	60x60mm (6ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000864	20x40mm (20ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000865	20x50mm (15ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000866	20x60mm (15ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000867	30x40mm (16ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000868	30x50mm (12ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000869	30x60mm (12ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000870	40x20mm (24ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000871	40x30mm (15ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000872	50x20mm (16ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000873	50x30mm (10ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000874	60x20mm (16ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000875	60x30mm (10ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000876	60x40mm (8ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000877	90x40mm (6ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000878	90x60mm (3ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000879	120x40mm (4ea)	-
커팅	PRD_000060	반칼직사각스티커	OPV_000880	120x60mm (3ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000659	10x190mm (9ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000887	15x190mm (7ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000888	20x190mm (5ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000889	25x190mm (4ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000890	30x190mm (4ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000891	130x10mm (14ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000892	130x15mm (10ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000893	130x20mm (8ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000894	130x25mm (6ea)	-
커팅	PRD_000061	반칼띠지스티커	OPV_000895	130x30mm (5ea)	-
커팅	PRD_000062	반칼팬시스티커	OPV_000666	원형	PROC_000122
커팅	PRD_000062	반칼팬시스티커	OPV_000901	하트	-
커팅	PRD_000062	반칼팬시스티커	OPV_000902	정사각	-
커팅	PRD_000062	반칼팬시스티커	OPV_000903	타원	-
커팅	PRD_000062	반칼팬시스티커	OPV_000904	사각분할	-
커팅	PRD_000062	반칼팬시스티커	OPV_000982	직사각	-
커팅	PRD_000063	반칼팬시투명스티커	OPV_000905	원형	-
커팅	PRD_000063	반칼팬시투명스티커	OPV_000906	하트	-
커팅	PRD_000063	반칼팬시투명스티커	OPV_000907	직사각	-
커팅	PRD_000063	반칼팬시투명스티커	OPV_000908	정사각	-
커팅	PRD_000063	반칼팬시투명스티커	OPV_000909	타원	-
커팅	PRD_000063	반칼팬시투명스티커	OPV_000910	사각분할	-
코팅	PRD_000228	이미지피켓(소형)	OPV_001009	유광	-
코팅	PRD_000229	이미지피켓	OPV_001008	유광	-
거치대	PRD_000136	PET배너	OPV_000956	실내용거치대	MAT_000409
거치대	PRD_000136	PET배너	OPV_000957	실외용 단면 거치대	MAT_000410
