mat_cd	mat_nm	mat_typ_cd	upr_mat_cd	sel_typ_cd	max_sel_cnt	width	height	depth	weight	bdl_qty	use_yn	note	reg_dt	upd_dt	del_yn	del_dt
MAT_000086	스노우지 100g	MAT_TYPE.01	MAT_000085			316.00	467.00		100.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000087	스노우지 120g	MAT_TYPE.01	MAT_000085			316.00	467.00		120.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000088	스노우지 150g	MAT_TYPE.01	MAT_000085			316.00	467.00		150.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000089	스노우지 180g	MAT_TYPE.01	MAT_000085			316.00	467.00		180.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000090	스노우지 200g	MAT_TYPE.01	MAT_000085			316.00	467.00		200.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000091	스노우지 250g	MAT_TYPE.01	MAT_000085			316.00	467.00		250.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000092	스노우지 300g	MAT_TYPE.01	MAT_000085			316.00	467.00		300.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000093	스노우지 250g (3절)	MAT_TYPE.01	MAT_000085			316.00	467.00		250.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000094	앙상블	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (5 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:55:10.873885	Y	2026-06-16 18:55:10.871844
MAT_000095	앙상블 100g	MAT_TYPE.01	MAT_000094			316.00	467.00		100.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000096	앙상블 130g	MAT_TYPE.01	MAT_000094			316.00	467.00		130.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000097	앙상블 160g	MAT_TYPE.01	MAT_000094			316.00	467.00		160.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
