kind,prd_cd,frm_cd,code,name,extra,conf
UNCOVERED_PROCESS,PRD_000148,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000149,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000150,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000152,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000155,PRF_ACRYL_BALLPEN,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000157,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000158,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000160,PRF_ACRYL_FREESTAND,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000161,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000162,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000163,PRF_ACRYL_MINIPART,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000169,PRF_ACRYL_3DBLOCK_TBD,PROC_000083,가공,,REVIEW
UNCOVERED_PROCESS,PRD_000172,PRF_STN_DIARY_SOFT,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000173,PRF_STN_DIARY_HARD,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000173,PRF_STN_DIARY_HARD,PROC_000023,하드커버무선제본,,REVIEW
UNCOVERED_PROCESS,PRD_000173,PRF_STN_DIARY_HARD,PROC_000076,수축포장,,REVIEW
UNCOVERED_PROCESS,PRD_000174,PRF_STN_DIARY_LHARD,PROC_000023,하드커버무선제본,,REVIEW
UNCOVERED_PROCESS,PRD_000176,PRF_STN_MONTHLY,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000177,PRF_STN_SPRINGNOTE,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000177,PRF_STN_SPRINGNOTE,PROC_000021,트윈링제본,,REVIEW
UNCOVERED_PROCESS,PRD_000177,PRF_STN_SPRINGNOTE,PROC_000076,수축포장,,REVIEW
UNCOVERED_PROCESS,PRD_000178,PRF_STN_SPRINGNOTEBK,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000178,PRF_STN_SPRINGNOTEBK,PROC_000021,트윈링제본,,REVIEW
UNCOVERED_PROCESS,PRD_000179,PRF_STN_MEMOPAD,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000179,PRF_STN_MEMOPAD,PROC_000022,떡제본,,REVIEW
UNCOVERED_PROCESS,PRD_000181,PRF_STN_JUNGCHEOL,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000181,PRF_STN_JUNGCHEOL,PROC_000018,중철제본,,REVIEW
PROC_MISMATCH,PRD_000016,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,PROC_000008;PROC_000009;PROC_000010;PROC_000011;PROC_000012,REVIEW
PROC_MISMATCH,PRD_000016,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,PROC_000090,REVIEW
PROC_MISMATCH,PRD_000016,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,PROC_000086,REVIEW
PROC_MISMATCH,PRD_000016,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,PROC_000014,REVIEW
PROC_MISMATCH,PRD_000016,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,PROC_000015,REVIEW
PROC_MISMATCH,PRD_000017,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,PROC_000008;PROC_000009;PROC_000010;PROC_000011;PROC_000012,REVIEW
PROC_MISMATCH,PRD_000017,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,PROC_000090,REVIEW
PROC_MISMATCH,PRD_000017,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,PROC_000086,REVIEW
PROC_MISMATCH,PRD_000017,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,PROC_000031,REVIEW
PROC_MISMATCH,PRD_000017,PRF_DGP_A,COMP_PP_VARIMG_1EA,가변이미지,PROC_000032,REVIEW
PROC_MISMATCH,PRD_000018,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,PROC_000008;PROC_000009;PROC_000010;PROC_000011;PROC_000012,REVIEW
PROC_MISMATCH,PRD_000018,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,PROC_000090,REVIEW
PROC_MISMATCH,PRD_000018,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,PROC_000086,REVIEW
PROC_MISMATCH,PRD_000018,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,PROC_000014,REVIEW
PROC_MISMATCH,PRD_000018,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,PROC_000015,REVIEW
PROC_MISMATCH,PRD_000019,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,PROC_000090,REVIEW
PROC_MISMATCH,PRD_000019,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,PROC_000086,REVIEW
PROC_MISMATCH,PRD_000019,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,PROC_000031,REVIEW
PROC_MISMATCH,PRD_000019,PRF_DGP_A,COMP_PP_VARIMG_1EA,가변이미지,PROC_000032,REVIEW
PROC_MISMATCH,PRD_000019,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,PROC_000014,REVIEW
PROC_MISMATCH,PRD_000019,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,PROC_000015,REVIEW
