prd_cd,frm_cd,comp_cd,comp_nm,price_rows,kind,conf
PRD_000037,PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_S1_STD,오리지널박명함 완제품가 단면·일반박(종이+동판+박),9,OPT_NOTSEL,REVIEW
PRD_000037,PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_S1_HOLO,오리지널박명함 완제품가 단면·홀로그램/트윙클(종이+동판+박),9,OPT_NOTSEL,REVIEW
PRD_000037,PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_S2_HOLO,오리지널박명함 완제품가 양면·홀로그램/트윙클(종이+동판+박),9,OPT_NOTSEL,REVIEW
PRD_000037,PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_S2_STD,오리지널박명함 완제품가 양면·일반박(종이+동판+박),9,OPT_NOTSEL,REVIEW
PRD_000040,PRF_NAMECARD_WHITE,COMP_NAMECARD_WHITE_S1W_CL,화이트인쇄명함 완제품가 단면·코팅(용지포함),1,CORE_ZERO,HIGH
PRD_000040,PRF_NAMECARD_WHITE,COMP_NAMECARD_WHITE_S2W_CL,화이트인쇄명함 완제품가 양면·코팅(용지포함),1,CORE_ZERO,HIGH
PRD_000041,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,530,OPT_NOTSEL,REVIEW
PRD_000041,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,18,OPT_NOTSEL,REVIEW
PRD_000041,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000041,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000042,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,530,OPT_NOTSEL,REVIEW
PRD_000042,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,18,OPT_NOTSEL,REVIEW
PRD_000042,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000042,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000043,PRF_DGP_C,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
PRD_000044,PRF_DGP_C,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
PRD_000045,PRF_DGP_C,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
PRD_000047,PRF_DGP_D,COMP_COAT_GLOSSY,유광코팅비,138,PROC_ZERO,HIGH
PRD_000047,PRF_DGP_D,COMP_COAT_MATTE,무광코팅비,138,PROC_ZERO,HIGH
PRD_000047,PRF_DGP_D,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
PRD_000047,PRF_DGP_D,COMP_PP_CREASE_1L,오시비,30,OPT_NOTSEL,REVIEW
PRD_000047,PRF_DGP_D,COMP_PP_PERF_1L,미싱비,30,OPT_NOTSEL,REVIEW
PRD_000047,PRF_DGP_D,COMP_PP_CORNER_RIGHT,귀돌이비,18,OPT_NOTSEL,REVIEW
PRD_000049,PRF_DGP_E,COMP_COAT_GLOSSY,유광코팅비,138,PROC_ZERO,HIGH
PRD_000049,PRF_DGP_E,COMP_COAT_MATTE,무광코팅비,138,PROC_ZERO,HIGH
PRD_000049,PRF_DGP_E,COMP_FOLD_LEAF_HALF,접지비 리플렛 반접지,144,OPT_NOTSEL,REVIEW
PRD_000049,PRF_DGP_E,COMP_FOLD_LEAF_4GATE,접지비 리플렛 4단게이트,48,OPT_NOTSEL,REVIEW
PRD_000049,PRF_DGP_E,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
PRD_000050,PRF_ENV_MAKING,COMP_ENV_MAKING,봉투제작 완제품가,60,OPT_NOTSEL,REVIEW
PRD_000066,PRF_GANGPAN_FIXED,COMP_GANGPAN_PRINT,합판도무송 완제품가(형상·소재별),1110,OPT_NOTSEL,REVIEW
PRD_000101,PRF_PHOTOBOOK_INNER,COMP_PHOTOBOOK_PAGE,포토북 추가2P당(사이즈별),4,OPT_NOTSEL,REVIEW
PRD_000110,PRF_DGP_INNER,COMP_PRINT_DIGITAL_S1,디지털인쇄비,625,CORE_ZERO,HIGH
PRD_000124,PRF_POSTER_LINEN,COMP_POSTEROPT_LINEN_FINISH,린넨 마감가공비,5,OPT_NOTSEL,REVIEW
PRD_000129,PRF_POSTER_FOAMBOARD,COMP_POSTER_FOAMBOARD_WHITE,폼보드(화이트) 완제품가,3,OPT_NOTSEL,REVIEW
PRD_000133,PRF_POSTER_CANVAS_HANGING,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,캔버스행잉포스터 우드행거+면끈 추가가격,3,OPT_NOTSEL,REVIEW
PRD_000134,PRF_POSTER_LINEN_WOODBONG,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,린넨우드봉족자 우드봉+면끈 추가가격,3,OPT_NOTSEL,REVIEW
PRD_000135,PRF_POSTER_JOKJA,COMP_POSTEROPT_JOKJA_CEILHOOK,족자포스터 천정형고리 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000136,PRF_POSTER_PET_BANNER,COMP_POSTEROPT_PET_BANNER_STAND_SEL,PET배너 거치대(실내/실외) 선택 추가가격,2,OPT_NOTSEL,REVIEW
PRD_000138,PRF_POSTER_BANNER_N,COMP_POPT_BNR_GAKMOK_STR_900_4_LE,현수막 각목(900mm이하)+끈(4개) 추가가격,1,OPT_NOTSEL,REVIEW
