comp_price_id,comp_cd,placeholder_siz,W,H,target_siz_cd,status
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x180,70,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x180,80,180,SIZ_000081,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x180,90,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_100x180,100,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x180,140,180,SIZ_000092,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x180,160,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x180,180,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x180,200,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x200,20,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x200,30,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x200,40,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x200,50,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x200,60,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x200,70,200,SIZ_000078,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x200,80,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x200,90,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_100x200,100,200,SIZ_000084,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x200,120,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x200,140,200,SIZ_000093,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x200,160,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x200,180,200,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x200,200,200,SIZ_000269,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_30x20,30,20,SIZ_000329,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_40x20,40,20,SIZ_000494,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_50x20,50,20,SIZ_000230,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_70x20,70,20,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_80x20,80,20,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_90x20,90,20,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_100x20,100,20,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_40x30,40,30,SIZ_000226,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_60x30,60,30,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_70x30,70,30,SIZ_000332,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_90x30,90,30,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_100x30,100,30,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_20x40,20,40,SIZ_000494,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_50x40,50,40,SIZ_000334,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_70x40,70,40,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_80x40,80,40,SIZ_000047,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_90x40,90,40,SIZ_000242,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_20x50,20,50,SIZ_000230,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_30x50,30,50,SIZ_000496,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_60x50,60,50,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_20x60,20,60,SIZ_000346,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_30x60,30,60,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_50x60,50,60,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_80x60,80,60,SIZ_000371,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_90x60,90,60,SIZ_000245,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_20x70,20,70,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_40x70,40,70,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_80x70,80,70,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_90x70,90,70,SIZ_000247,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_20x80,20,80,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_30x80,30,80,SIZ_000350,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_50x80,50,80,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_70x80,70,80,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_90x80,90,80,SIZ_000249,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_20x90,20,90,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_30x90,30,90,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_40x90,40,90,SIZ_000242,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_70x90,70,90,SIZ_000247,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_80x90,80,90,SIZ_000249,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_20x100,20,100,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_30x100,30,100,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_40x100,40,100,,NEW
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_50x100,50,100,SIZ_000243,REUSE
,COMP_ACRYL_CLEAR15T,SIZ_PENDING_ACRYL_80x100,80,100,SIZ_000079,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_30x20,30,20,SIZ_000329,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_40x20,40,20,SIZ_000494,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_50x20,50,20,SIZ_000230,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_70x20,70,20,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_80x20,80,20,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_90x20,90,20,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_100x20,100,20,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_40x30,40,30,SIZ_000226,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_60x30,60,30,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_70x30,70,30,SIZ_000332,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_90x30,90,30,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_100x30,100,30,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_20x40,20,40,SIZ_000494,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_50x40,50,40,SIZ_000334,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_70x40,70,40,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_80x40,80,40,SIZ_000047,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_90x40,90,40,SIZ_000242,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_20x50,20,50,SIZ_000230,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_30x50,30,50,SIZ_000496,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_60x50,60,50,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_20x60,20,60,SIZ_000346,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_30x60,30,60,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_50x60,50,60,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_80x60,80,60,SIZ_000371,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_90x60,90,60,SIZ_000245,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_20x70,20,70,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_40x70,40,70,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_80x70,80,70,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_90x70,90,70,SIZ_000247,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_20x80,20,80,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_30x80,30,80,SIZ_000350,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_50x80,50,80,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_70x80,70,80,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_90x80,90,80,SIZ_000249,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_20x90,20,90,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_30x90,30,90,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_40x90,40,90,SIZ_000242,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_70x90,70,90,SIZ_000247,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_80x90,80,90,SIZ_000249,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_20x100,20,100,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_30x100,30,100,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_40x100,40,100,,NEW
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_50x100,50,100,SIZ_000243,REUSE
,COMP_ACRYL_MIRROR3T,SIZ_PENDING_ACRYL_80x100,80,100,SIZ_000079,REUSE
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_600x600,600,600,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_800x600,800,600,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1000x600,1000,600,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1200x600,1200,600,,NEW
