prd_cd,siz_cd,dflt_yn,disp_seq,reg_dt,upd_dt
PRD_000110,SIZ_000074,Y,1,2026-06-03 12:46:02.974607,
PRD_000111,SIZ_000050,Y,1,2026-06-03 12:46:02.974607,
PRD_000111,SIZ_000075,Y,1,2026-06-03 12:46:02.974607,
PRD_000111,SIZ_000076,Y,1,2026-06-03 12:46:02.974607,
PRD_000112,SIZ_000077,Y,1,2026-06-03 12:46:02.974607,
PRD_000113,SIZ_000069,Y,1,2026-06-03 12:46:02.974607,
PRD_000113,SIZ_000070,Y,1,2026-06-03 12:46:02.974607,
PRD_000114,SIZ_000018,Y,1,2026-06-03 12:46:02.974607,
PRD_000114,SIZ_000071,Y,1,2026-06-03 12:46:02.974607,
PRD_000115,SIZ_000072,Y,1,2026-06-03 12:46:02.974607,
PRD_000116,SIZ_000050,Y,1,2026-06-03 12:46:02.974607,
PRD_000117,SIZ_000077,Y,1,2026-06-03 12:46:02.974607,
PRD_000118,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000118,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000118,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000119,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000119,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000119,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000120,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000120,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000120,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000121,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000121,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000121,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000122,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000122,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000122,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000123,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000123,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000123,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000295,Y,1,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000296,Y,1,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000297,Y,1,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000298,Y,1,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000300,Y,1,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000301,Y,1,2026-06-03 12:46:02.974607,
PRD_000125,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000125,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000125,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000126,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000126,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000126,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000127,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000127,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000127,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000128,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000128,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000128,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000129,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000129,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000130,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000130,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000131,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000131,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000132,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000132,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000132,SIZ_000304,Y,1,2026-06-03 12:46:02.974607,
PRD_000132,SIZ_000306,Y,1,2026-06-03 12:46:02.974607,
PRD_000132,SIZ_000308,Y,1,2026-06-03 12:46:02.974607,
PRD_000132,SIZ_000310,Y,1,2026-06-03 12:46:02.974607,
PRD_000133,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000133,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000133,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000134,SIZ_000258,Y,1,2026-06-03 12:46:02.974607,
PRD_000134,SIZ_000315,Y,1,2026-06-03 12:46:02.974607,
PRD_000134,SIZ_000317,Y,1,2026-06-03 12:46:02.974607,
PRD_000135,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000135,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000135,SIZ_000293,Y,1,2026-06-03 12:46:02.974607,
PRD_000135,SIZ_000319,Y,1,2026-06-03 12:46:02.974607,
PRD_000135,SIZ_000320,Y,1,2026-06-03 12:46:02.974607,
PRD_000136,SIZ_000321,Y,1,2026-06-03 12:46:02.974607,
PRD_000137,SIZ_000321,Y,1,2026-06-03 12:46:02.974607,
PRD_000138,SIZ_000322,Y,1,2026-06-03 12:46:02.974607,
PRD_000139,SIZ_000320,Y,1,2026-06-03 12:46:02.974607,
PRD_000139,SIZ_000322,Y,1,2026-06-03 12:46:02.974607,
PRD_000139,SIZ_000323,Y,1,2026-06-03 12:46:02.974607,
PRD_000140,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000140,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000140,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
