comp_cd,comp_nm,sheet,block_id,block_title,geometry,dim,axis,channel,status,rate,axis_label,dim_codes,n_codes
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,min_qty,row,수치파싱,ok,1.000,10,10,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,min_qty,row,수치파싱,ok,1.000,50,50,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,min_qty,row,수치파싱,ok,1.000,100,100,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,min_qty,row,수치파싱,ok,1.000,1000,1000,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,proc_cd,(상수),라이브 단일값,constant,1.000,(블록 상수),PROC_000015,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,plt_siz_cd,title,닫힌집합(0.60),ok,1.000,코팅(국4절),SIZ_000499,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,coat_side_cnt,band1,수치파싱,ok,1.000,단면,1,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,coat_side_cnt,band1,수치파싱,ok,1.000,양면,2,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,1,1,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,2,2,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,5,5,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,10,10,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,20,20,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,30,30,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,40,40,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,50,50,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,70,70,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,100,100,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,150,150,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,200,200,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,250,250,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,300,300,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,400,400,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,500,500,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,700,700,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,900,900,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,1000,1000,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,1500,1500,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,2500,2500,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,5000,5000,1
COMP_COAT_MATTE,무광코팅비,코팅,B01,코팅(국4절),declared,min_qty,row,수치파싱,ok,1.000,1000000,1000000,1
COMP_COAT_MATTE,무광코팅비,코팅,B02,코팅(3절),declared,proc_cd,(상수),라이브 단일값,constant,1.000,(블록 상수),PROC_000015,1
COMP_COAT_MATTE,무광코팅비,코팅,B02,코팅(3절),declared,plt_siz_cd,title,닫힌집합(0.50),ok,1.000,코팅(3절),SIZ_000475,1
