이전사이트상품,사이트URL,엑셀prd_nm,prd_cd,prd_typ,상품군,종이류여부,판형대상,매칭상태,비고
,,하드커버책자,PRD_000072,PRD_TYPE.01,책자,Y,Y,완전매칭,
,,,PRD_000284,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=)
,,,PRD_000076,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000075,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000074,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000073,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
,,하트 이미지피켓,PRD_000228,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,합판도무송스티커,PRD_000066,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,행택끈,PRD_000010,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,형압명함,PRD_000038,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,홀로그램 시트커팅,PRD_000141,PRD_TYPE.01,실사,N,N,완전매칭,
,,화이트인쇄명함,PRD_000040,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,화이트인쇄엽서,PRD_000020,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,후드티셔츠,PRD_000209,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
