group,width_mm,height_mm,wxh,match_status,existing_siz_cd,products
POSTER,600,1200,600x1200,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,1400,600x1400,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,1600,600x1600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,1800,600x1800,EXACT,SIZ_000321,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,2000,600x2000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,2200,600x2200,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,2400,600x2400,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,2600,600x2600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,2800,600x2800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,3000,600x3000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
