verdict,deunggeup,clr,plt_grade,side,min_qty,auth_value,live_value,comp_cd,src_ref,comp_price_id
match,별색,별색-금색,국4절,단면,1600,490,490,COMP_PRINT_SPOT_WHITE_S1,L42,7775
match,별색,별색-금색,국4절,단면,1800,490,490,COMP_PRINT_SPOT_WHITE_S1,L43,7776
match,별색,별색-금색,국4절,단면,2000,480,480,COMP_PRINT_SPOT_WHITE_S1,L44,7777
match,별색,별색-금색,국4절,단면,2500,480,480,COMP_PRINT_SPOT_WHITE_S1,L45,7778
match,별색,별색-금색,국4절,단면,3000,470,470,COMP_PRINT_SPOT_WHITE_S1,L46,7779
match,별색,별색-금색,국4절,단면,3500,470,470,COMP_PRINT_SPOT_WHITE_S1,L47,7780
match,별색,별색-금색,국4절,단면,4000,460,460,COMP_PRINT_SPOT_WHITE_S1,L48,7781
match,별색,별색-금색,국4절,단면,4500,460,460,COMP_PRINT_SPOT_WHITE_S1,L49,7782
match,별색,별색-금색,국4절,단면,5000,450,450,COMP_PRINT_SPOT_WHITE_S1,L50,7783
match,별색,별색-금색,국4절,단면,6000,450,450,COMP_PRINT_SPOT_WHITE_S1,L51,7784
match,별색,별색-금색,국4절,단면,7000,450,450,COMP_PRINT_SPOT_WHITE_S1,L52,7785
match,별색,별색-금색,국4절,단면,8000,450,450,COMP_PRINT_SPOT_WHITE_S1,L53,7786
match,별색,별색-금색,국4절,단면,9000,450,450,COMP_PRINT_SPOT_WHITE_S1,L54,7787
match,별색,별색-금색,국4절,단면,10000,450,450,COMP_PRINT_SPOT_WHITE_S1,L55,7788
match,별색,별색-금색,국4절,단면,1000000,450,450,COMP_PRINT_SPOT_WHITE_S1,L56,7789
match,별색,별색-금색,국4절,양면,1,6000,6000,COMP_PRINT_SPOT_WHITE_S1,M4,7790
match,별색,별색-금색,국4절,양면,2,5000,5000,COMP_PRINT_SPOT_WHITE_S1,M5,7791
match,별색,별색-금색,국4절,양면,3,4600,4600,COMP_PRINT_SPOT_WHITE_S1,M6,7792
